,All Might,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Armin,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Broly,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Diavolo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Levi,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Madara,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Rengoku,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Light,52025,¥,Cost /DPSx1000,4,,,,,Light,57000,¥,Cost /DPSx1000,3,,,,,Air,57500,¥,Cost /DPSx1000,4,,,,,Rose,36900,¥,Cost /DPSx1000,3,,,,,Fire,41500,¥,Cost /DPSx1000,6,,,,,Water,63400,¥,Cost /DPSx1000,4,,,,,Fire,60500,¥,Cost /DPSx1000,4
,,,,Ground,AOE(Circle) 15 Radius,,1300¥ Deploy,,,,,,Ground,AOE Full,,5000¥ Deploy,,,,,,Hybrid,AOE Full,,1350¥ Deploy,,,,,,Ground,Single Target,,1100¥ Deploy,,,,,,Hill,AOE(Circle) 4 Radius,,1500¥ Deploy,,,,,,Ground,AOE Full,,1400¥ Deploy,,,,,,Ground,AOE(Circle) 18 Radius,,1250¥ Deploy,
,Upgrade 0,,,Max Upgrade,,52025,,4,,Upgrade 0,,,Max Upgrade,,57000,,3,,Upgrade 0,,,Max Upgrade,,57500,,4,,Upgrade 0,,,Max Upgrade,,36900,,3,,Upgrade 0,,,Max Upgrade,,41500,,6,,Upgrade 0,,,Max Upgrade,,63400,,4,,Upgrade 0,,,Max Upgrade,,60500,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,2266,,Damage,67640.67,,144,30062.52,,Damage,36816,,Damage,156469,,61,10431.26667,,Damage,2531.12,,Damage,33077.1,,48,11025.7,,Damage,920.41,,Damage,13806.41,,62,6903.205,,Damage,1251.75,,Damage,17966.33,,162,40424.2425,,Damage,4141.83,,Damage,63508.05,,80,20322.576,,Damage,575.25,,Damage,14381.35,,59,14381.35
,Range ,12,,Range ,25,,,,,Range ,30,,Range ,30,,,,,Range ,12,,Range ,45,,,,,Range ,10,,Range ,20,,,,,Range ,18,,Range ,30,,,,,Range ,11,,Range ,30,,,,,Range ,15,,Range ,30,,,
,SPA,9,,SPA,9,,,,,SPA,60,,SPA,45,,,,,SPA,8,,SPA,12,,,,,SPA,9,,SPA,6,,,,,SPA,7,,SPA,5,,,,,SPA,10,,SPA,15,,,,,SPA,6,,SPA,6,,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,2719,,Damage,81169,56050,193,40083.36,,Damage,44179,,Damage,187763,56050,81,13908.35556,,Damage,3037,,Damage,39693,56050,64,14700.93333,,Damage,1104,,Damage,16568,56050,83,9204.273333,,Damage,1502,,Damage,21560,56050,216,53898.99,,Damage,4970,,Damage,76210,56050,107,27096.768,,Damage,690,,Damage,17258,56050,79,19175.13333
,Range ,13.2,,Range ,27.5,56050,,,,Range ,33.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,49.5,56050,,,,Range ,11.0,,Range ,22.0,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,12.1,,Range ,33.0,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,54.0,,SPA,40.5,56050,,,,SPA,7.2,,SPA,10.8,56050,,,,SPA,8.1,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,9.0,,SPA,13.5,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,10877,,Damage,324675,56050,856,44537.06667,,Damage,176717,,Damage,751051,56050,361,20604.97119,,Damage,12149,,Damage,158770,56050,284,16334.37037,,Damage,4418,,Damage,66271,56050,370,13635.96049,,Damage,6008,,Damage,86238,56050,962,39925.17778,,Damage,19881,,Damage,304839,56050,475,30107.52,,Damage,2761,,Damage,69030,56050,352,21305.7037
,Range ,14.5,,Range ,30.3,56050,,,,Range ,36.3,,Range ,36.3,56050,,,,Range ,14.5,,Range ,54.5,56050,,,,Range ,12.1,,Range ,24.2,56050,,,,Range ,21.8,,Range ,36.3,56050,,,,Range ,13.3,,Range ,36.3,56050,,,,Range ,18.2,,Range ,36.3,56050,,
,SPA,7.3,,SPA,7.3,56050,,,,SPA,48.6,,SPA,36.5,56050,,,,SPA,6.5,,SPA,9.7,56050,,,,SPA,7.3,,SPA,4.9,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,8.1,,SPA,12.2,56050,,,,SPA,4.9,,SPA,4.9,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,3263,,Damage,97403,56050,257,53444.48,,Damage,53015,,Damage,225315,56050,108,18544.47407,,Damage,3645,,Damage,47631,56050,85,19601.24444,,Damage,1325,,Damage,19881,56050,111,12272.36444,,Damage,1803,,Damage,25872,56050,289,71865.32,,Damage,5964,,Damage,91452,56050,142,36129.024,,Damage,828,,Damage,20709,56050,106,25566.84444
,Range ,15.8,,Range ,33.0,56050,,,,Range ,39.6,,Range ,39.6,56050,,,,Range ,15.8,,Range ,59.4,56050,,,,Range ,13.2,,Range ,26.4,56050,,,,Range ,23.8,,Range ,39.6,56050,,,,Range ,14.5,,Range ,39.6,56050,,,,Range ,19.8,,Range ,39.6,56050,,
,SPA,7.3,,SPA,7.3,56050,,,,SPA,48.6,,SPA,36.5,56050,,,,SPA,6.5,,SPA,9.7,56050,,,,SPA,7.3,,SPA,4.9,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,8.1,,SPA,12.2,56050,,,,SPA,4.9,,SPA,4.9,56050,,
,,,,,,52025,,4,,,,,,,57000,,3,,,,,,,57500,,4,,,,,,,36900,,3,,,,,,,41500,,6,,,,,,,63400,,4,,,,,,,60500,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,2991,,Damage,89286,56050,254,52910.0352,,Damage,48597,,Damage,206539,56050,107,18359.02933,,Damage,3341,,Damage,43662,56050,84,19405.232,,Damage,1215,,Damage,18224,56050,110,12149.6408,,Damage,1652,,Damage,23716,56050,286,71146.6668,,Damage,5467,,Damage,83831,56050,153,38748.37824,,Damage,759,,Damage,18983,56050,105,25311.176
,Range ,13.2,,Range ,30.3,56050,,,,Range ,33.0,,Range ,36.3,56050,,,,Range ,13.2,,Range ,54.5,56050,,,,Range ,11.0,,Range ,24.2,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,12.1,,Range ,36.3,56050,,,,Range ,16.5,,Range ,36.3,56050,,
