,Akainu,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Katakuri,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Shanks,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Whitebeard,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Lulu,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Fire,53250,¥,Cost /DPSx1000,4,,,,,Rose,67750,¥,Cost /DPSx1000,4,,,,,Fire,63000,¥,Cost /DPSx1000,3,,,,,Water,70250,¥,Cost /DPSx1000,3,,,,,Water,49000,¥,Cost /DPSx1000,1
,,,,Hill,AOE(Circle) 20 Radius,,1250¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1400¥ Deploy,,,,,,Ground,AOE Full,,1500¥ Deploy,,,,,,Ground,AOE Full,,1750¥ Deploy,,,,,,Ground,AOE Full,,2000¥ Deploy,
,Upgrade 0,,,Max Upgrade,,53250,,4,,Upgrade 0,,,Max Upgrade,,67750,,4,,Upgrade 0,,,Max Upgrade,,63000,,3,,Upgrade 0,,,Max Upgrade,,70250,,3,,Upgrade 0,,,Max Upgrade,,49000,,1
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,2393.06,,Damage,47861.14,,78,16591.86187,,Damage,1380.61,,Damage,27613.2,,69,18692.01231,,Damage,1035.46,,Damage,13806.1,,44,8283.66,,Damage,2692.19,,Damage,30511.48,,43,9153.444,,Damage,460.2,,Damage,4602,,17,836.7272727
,Range ,20,,Range ,48,,,,,Range ,18,,Range ,25,,,,,Range ,15,,Range ,22,,,,,Range ,12,,Range ,25,,,,,Range ,20,,Range ,20,,,
,SPA,8,,SPA,15,,,,,SPA,7.5,,SPA,6.5,,,,,SPA,7,,SPA,5,,,,,SPA,8,,SPA,10,,,,,SPA,7,,SPA,5.5,,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,2872,,Damage,57433,56050,104,22122.48249,,Damage,1657,,Damage,33136,56050,92,24922.68308,,Damage,1243,,Damage,16567,56050,58,11044.88,,Damage,3231,,Damage,36614,56050,58,12204.592,,Damage,552,,Damage,5522,56050,23,1115.636364
,Range ,22.0,,Range ,52.8,56050,,,,Range ,19.8,,Range ,27.5,56050,,,,Range ,16.5,,Range ,24.2,56050,,,,Range ,13.2,,Range ,27.5,56050,,,,Range ,22.0,,Range ,22.0,56050,,
,SPA,7.2,,SPA,13.5,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,5.0,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,11487,,Damage,229733,56050,462,24580.5361,,Damage,6627,,Damage,132543,56050,409,27691.87009,,Damage,4970,,Damage,66269,56050,260,16362.78519,,Damage,12923,,Damage,146455,56050,257,18080.87704,,Damage,2209,,Damage,22090,56050,101,4958.383838
,Range ,24.2,,Range ,58.1,56050,,,,Range ,21.8,,Range ,30.3,56050,,,,Range ,18.2,,Range ,26.6,56050,,,,Range ,14.5,,Range ,30.3,56050,,,,Range ,24.2,,Range ,24.2,56050,,
,SPA,6.5,,SPA,12.2,56050,,,,SPA,6.1,,SPA,5.3,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,6.5,,SPA,8.1,56050,,,,SPA,5.7,,SPA,4.5,56050,,
,,,,,,53250,,4,,,,,,,67750,,4,,,,,,,63000,,3,,,,,,,70250,,3,,,,,,,49000,,1
