,Itachi,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Sasuke,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Shisui,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Fire,89600,¥,Cost /DPSx1000,3,,,,,Storm,66200,¥,Cost /DPSx1000,4,,,,,Air,80750,¥,Cost /DPSx1000,3
,,,,Ground,AOE(Cone) 50° Angle,,1400¥ Deploy,,,,,,Hybrid,AOE(CIRCLE) 9 Radius,,1200¥ Deploy,,,,,,Ground,AOE(Cone) 60° Angle,,1450¥ Deploy,
,Upgrade 0,,,Max Upgrade,,89600,,3,,Upgrade 0,,,Max Upgrade,,66200,,4,,Upgrade 0,,,Max Upgrade,,80750,,3
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,2396.7,,Damage,63784.17,,219,58877.69538,,Damage,2393.06,,Damage,95722.28,,181,47861.14,,Damage,3221.42,,Damage,128856.91,,199,48321.34125
,Range ,23,,Range ,40,,,,,Range ,23,,Range ,35,,,,,Range ,22,,Range ,35,,,
,SPA,7,,SPA,6.5,,,,,SPA,6.5,,SPA,8,,,,,SPA,6.5,,SPA,8,,,
,,,,56050,,89600,,3,,,,,56050,,66200,,4,,,,,56050,,80750,,3
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,2876,,Damage,76541,56050,292,78503.59385,,Damage,2872,,Damage,114867,56050,241,63814.85333,,Damage,3866,,Damage,154628,56050,266,64428.455
,Range ,25.3,,Range ,44.0,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,38.5,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,11504,,Damage,306164,56050,1460,130839.3231,,Damage,11487,,Damage,459467,56050,1071,70905.39259,,Damage,15463,,Damage,618513,56050,1182,95449.56296
,Range ,27.8,,Range ,48.4,56050,,,,Range ,27.8,,Range ,42.4,56050,,,,Range ,26.6,,Range ,42.4,56050,,
,SPA,5.7,,SPA,4.7,56050,,,,SPA,5.3,,SPA,6.5,56050,,,,SPA,5.3,,SPA,6.5,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,3451,,Damage,91849,56050,389,104671.4585,,Damage,3446,,Damage,137840,56050,321,85086.47111,,Damage,4639,,Damage,185554,56050,355,85904.60667
,Range ,30.4,,Range ,52.8,56050,,,,Range ,30.4,,Range ,46.2,56050,,,,Range ,29.0,,Range ,46.2,56050,,
,SPA,5.7,,SPA,5.3,56050,,,,SPA,5.3,,SPA,6.5,56050,,,,SPA,5.3,,SPA,6.5,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,3164,,Damage,84195,56050,386,103624.7439,,Damage,3159,,Damage,126353,56050,318,84235.6064,,Damage,4252,,Damage,170091,56050,351,85045.5606
,Range ,25.3,,Range ,48.4,56050,,,,Range ,25.3,,Range ,42.4,56050,,,,Range ,24.2,,Range ,42.4,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,3739,,Damage,99503,56050,380,102054.672,,Damage,3733,,Damage,149327,56050,313,82959.30933,,Damage,5025,,Damage,201017,56050,346,83756.9915
,Range ,25.3,,Range ,44.0,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,38.5,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,2876,,Damage,76541,56050,365,98129.49231,,Damage,2872,,Damage,114867,56050,301,79768.56667,,Damage,3866,,Damage,154628,56050,332,80535.56875
,Range ,25.3,,Range ,44.0,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,38.5,56050,,
,SPA,5.0,,SPA,4.7,56050,,,,SPA,4.7,,SPA,5.8,56050,,,,SPA,4.7,,SPA,5.8,56050,,
,,,,Max Upgrade,,89600,,3,,,,,Max Upgrade,,66200,,4,,,,,Max Upgrade,,80750,,3
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,2876,,Damage,76541,56050,292,78503.59385,,Damage,2872,,Damage,114867,56050,241,63814.85333,,Damage,3866,,Damage,154628,56050,266,64428.455
,Range ,31.6,,Range ,55.0,56050,,,,Range ,31.6,,Range ,48.1,56050,,,,Range ,30.3,,Range ,48.1,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
,Damage,3307,,Damage,88022,56050,336,90279.13292,,Damage,3302,,Damage,132097,56050,277,73387.08133,,Damage,4446,,Damage,177823,56050,306,74092.72325
,Range ,25.3,,Range ,44.0,56050,,,,Range ,25.3,,Range ,38.5,56050,,,,Range ,24.2,,Range ,38.5,56050,,
,SPA,6.3,,SPA,5.9,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.9,,SPA,7.2,56050,,
,,,,,,89600,,3,,,,,,,66200,,4,,,,,,,80750,,3
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS
