,Boros,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Genos,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Silver Fang,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Sonic,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Tatsumaki,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Metal Knight,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Storm,104000,¥,Cost /DPSx1000,3,,,,,Fire,61800,¥,Cost /DPSx1000,4,,,,,Water,47850,¥,Cost /DPSx1000,4,,,,,Storm,50500,¥,Cost /DPSx1000,5,,,,,Air,85450,¥,Cost /DPSx1000,3,,,,,Storm,118250,¥,Cost /DPSx1000,2
,,,,Hybrid,AOE(Circle) 12 Radius,,2000¥ Deploy,,,,,,Ground,AOE(Cone) 60° Angle,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 10 Radius,,1600¥ Deploy,,,,,,Ground,AOE(Circle) 10 Radius,,1500¥ Deploy,,,,,,Hybrid,AOE(Circle) 15 Radius,,1750¥ Deploy,,,,,,Hill,AOE(Circle) 15 Radius,,1700¥ Deploy,
,Upgrade 0,,,Max Upgrade,,104000,,3,,Upgrade 0,,,Max Upgrade,,61800,,4,,Upgrade 0,,,Max Upgrade,,47850,,4,,Upgrade 0,,,Max Upgrade,,50500,,5,,Upgrade 0,,,Max Upgrade,,85450,,3,,Upgrade 0,,,Max Upgrade,,118250,,2
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,7239,,Damage,164522.66,,211,65809.064,,Damage,4071.88,,Damage,73358.24,,193,47682.856,,Damage,5522.44,,Damage,45560.12,,159,30373.41333,,Damage,3313.46,,Damage,55224.39,,195,49307.49107,,Damage,4187.85,,Damage,131618.13,,118,30373.41462,,Damage,5177.29,,Damage,120803.35,,180,42661.3229
,Range ,9.5,,Range ,40,,,,,Range ,17,,Range ,45,,,,,Range ,22,,Range ,33,,,,,Range ,22,,Range ,27,,,,,Range ,15,,Range ,43,,,,,Range ,22,,Range ,39,,,
,SPA,7.5,,SPA,7.5,,,,,SPA,7,,SPA,8,,,,,SPA,7,,SPA,6,,,,,SPA,7,,SPA,7,,,,,SPA,7,,SPA,13,,,,,SPA,7,,SPA,6.5,,,
,,,,56050,,104000,,3,,,,,56050,,61800,,4,,,,,56050,,47850,,4,,,,,56050,,50500,,5,,,,,56050,,85450,,3,,,,,56050,,118250,,2
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,8687,,Damage,197427,56050,281,87745.41867,,Damage,4886,,Damage,88030,56050,257,63577.14133,,Damage,6627,,Damage,54672,56050,212,40497.88444,,Damage,3976,,Damage,66269,56050,260,65743.32143,,Damage,5025,,Damage,157942,56050,158,40497.88615,,Damage,6213,,Damage,144964,56050,237,56149.62235
,Range ,10.5,,Range ,44.0,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,29.7,56050,,,,Range ,16.5,,Range ,47.3,56050,,,,Range ,24.2,,Range ,42.9,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,34747,,Damage,789709,56050,1250,129993.2128,,Damage,19545,,Damage,352120,56050,1143,70641.26815,,Damage,26508,,Damage,218689,56050,940,44997.64938,,Damage,15905,,Damage,265077,56050,926,46750.80635,,Damage,20102,,Damage,631767,56050,702,59996.86838,,Damage,24851,,Damage,579856,56050,1154,136491.2028
,Range ,11.5,,Range ,48.4,56050,,,,Range ,20.6,,Range ,54.5,56050,,,,Range ,26.6,,Range ,39.9,56050,,,,Range ,26.6,,Range ,32.7,56050,,,,Range ,18.2,,Range ,52.0,56050,,,,Range ,26.6,,Range ,47.2,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,5.7,,SPA,10.5,56050,,,,SPA,5.7,,SPA,5.3,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,10424,,Damage,236913,56050,375,116993.8916,,Damage,5864,,Damage,105636,56050,343,84769.52178,,Damage,7952,,Damage,65607,56050,282,53997.17926,,Damage,4771,,Damage,79523,56050,347,87657.7619,,Damage,6031,,Damage,189530,56050,211,53997.18154,,Damage,7455,,Damage,173957,56050,313,73987.59332
,Range ,12.5,,Range ,52.8,56050,,,,Range ,22.4,,Range ,59.4,56050,,,,Range ,29.0,,Range ,43.6,56050,,,,Range ,29.0,,Range ,35.6,56050,,,,Range ,19.8,,Range ,56.8,56050,,,,Range ,29.0,,Range ,51.5,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,5.7,,SPA,10.5,56050,,,,SPA,5.7,,SPA,5.3,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,9555,,Damage,217170,56050,371,115823.9526,,Damage,5375,,Damage,96833,56050,339,83921.82656,,Damage,7290,,Damage,60139,56050,279,53457.20747,,Damage,4374,,Damage,72896,56050,344,86781.18429,,Damage,5528,,Damage,173736,56050,209,53457.20972,,Damage,6834,,Damage,159460,56050,277,65419.66031
,Range ,10.5,,Range ,48.4,56050,,,,Range ,18.7,,Range ,54.5,56050,,,,Range ,24.2,,Range ,39.9,56050,,,,Range ,24.2,,Range ,32.7,56050,,,,Range ,16.5,,Range ,52.0,56050,,,,Range ,24.2,,Range ,47.2,56050,,
,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.9,56050,,
,,,,,,104000,,3,,,,,,,61800,,4,,,,,,,47850,,4,,,,,,,50500,,5,,,,,,,85450,,3,,,,,,,118250,,2
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
