,Golden Frieza,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Piccolo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Vegeta,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Hange,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Vash,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Light,119750,¥,Cost /DPSx1000,3,,,,,Air,38600,¥,Cost /DPSx1000,4,,,,,Light,74700,¥,Cost /DPSx1000,3,,,,,Fire,43500,¥,Cost /DPSx1000,5,,,,,Rose,57600,¥,Cost /DPSx1000,4
,,,,Hill,AOE(Circle) 18 Radius,,1750¥ Deploy,,,,,,Ground,AOE(Line) 3 Width,,1350¥ Deploy,,,,,,Hybrid,AOE(Cone) 60° Angle,,1500¥ Deploy,,,,,,Hill,AOE(Circle) 6 Radius,,1500¥ Deploy,,,,,,Ground,AOE(Line) 10 Width,,1200¥ Deploy,
,Upgrade 0,,,Max Upgrade,,119750,,3,,Upgrade 0,,,Max Upgrade,,38600,,4,,Upgrade 0,,,Max Upgrade,,74700,,3,,Upgrade 0,,,Max Upgrade,,43500,,5,,Upgrade 0,,,Max Upgrade,,57600,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,4187.61,,Damage,299131.42,,178,64099.59,,Damage,5383,,Damage,61022,,243,37552,,Damage,6477.142,,Damage,155318.1,,260,58244.2875,,Damage,3589.5,,Damage,41878.1,,261,56709.92708,,Damage,2577.14,,Damage,70871.3,,123,28348.52
,Range ,22,,Range ,35,,,,,Range ,25,,Range ,70,,,,,Range ,22,,Range ,33,,,,,Range ,20,,Range ,30,,,,,Range ,25,,Range ,36,,,
,SPA,7,,SPA,14,,,,,SPA,7.5,,SPA,6.5,,,,,SPA,7,,SPA,8,,,,,SPA,7,,SPA,6,,,,,SPA,6,,SPA,10,,,
,,,,56050,,119750,,3,,,,,56050,,38600,,4,,,,,56050,,74700,,3,,,,,56050,,43500,,5,,,,,56050,,57600,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,5025,,Damage,358958,56050,238,85466.12,,Damage,6460,,Damage,73226,56050,324,50069.33333,,Damage,7773,,Damage,186382,56050,347,77659.05,,Damage,4307,,Damage,50254,56050,348,75613.23611,,Damage,3093,,Damage,85046,56050,164,37798.02667
,Range ,24.2,,Range ,38.5,56050,,,,Range ,27.5,,Range ,77.0,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,Range ,27.5,,Range ,39.6,56050,,
,SPA,6.3,,SPA,12.6,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.0,56050,,
,,,,,,119750,,3,,,,,,,38600,,4,,,,,,,74700,,3,,,,,,,43500,,5,,,,,,,57600,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,20101,,Damage,1435831,56050,1057,126616.4741,,Damage,25838,,Damage,292906,56050,1441,55632.59259,,Damage,31090,,Damage,745527,56050,1540,115050.4444,,Damage,17230,,Damage,201015,56050,1545,67211.76543,,Damage,12370,,Damage,340182,56050,729,41997.80741
,Range ,26.6,,Range ,42.4,56050,,,,Range ,30.3,,Range ,84.7,56050,,,,Range ,26.6,,Range ,39.9,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,30.3,,Range ,43.6,56050,,
,SPA,5.7,,SPA,11.3,56050,,,,SPA,6.1,,SPA,5.3,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,4.9,,SPA,8.1,56050,,
,,,,,,119750,,3,,,,,,,38600,,4,,,,,,,74700,,3,,,,,,,43500,,5,,,,,,,57600,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,6030,,Damage,430749,56050,317,113954.8267,,Damage,7752,,Damage,87872,56050,432,66759.11111,,Damage,9327,,Damage,223658,56050,462,103545.4,,Damage,5169,,Damage,60304,56050,464,100817.6481,,Damage,3711,,Damage,102055,56050,219,50397.36889
,Range ,29.0,,Range ,46.2,56050,,,,Range ,33.0,,Range ,92.4,56050,,,,Range ,29.0,,Range ,43.6,56050,,,,Range ,26.4,,Range ,39.6,56050,,,,Range ,33.0,,Range ,47.5,56050,,
,SPA,5.7,,SPA,11.3,56050,,,,SPA,6.1,,SPA,5.3,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,4.9,,SPA,8.1,56050,,
,,,,,,119750,,3,,,,,,,38600,,4,,,,,,,74700,,3,,,,,,,43500,,5,,,,,,,57600,,4
