v,Tengen,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gyutaro,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Daki,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Carrot,,,Phy,Cost Per Units,¥,DPS VALUE,Placement Limit,,Mirko,,,Phy,Cost Per Units,¥,DPS VALUE,Placement Limit,,Fugo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yoshino,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Rose,92700,¥,Cost /DPSx1000,3,,,,,Air,61950,¥,Cost /DPSx1000,4,,,,,Rose,58950,¥,Cost /DPSx1000,4,,,,,Storm,52100,¥,Cost /DPSx1000,4,,,,,Light,54700,¥,Cost /DPSx1000,4,,,,,Water,82000,¥,Cost /DPSx1000,3,,,,,Storm,62100,¥,Cost /DPSx1000,4
,,,,Hybrid,Full AOE,,1600¥ Deploy,,,,,,Ground,AOE(Cone) 50° Angle,,1500¥ Deploy,,,,,,Ground,AOE(Circle) 14 Radius,,1450¥ Deploy,,,,,,Ground,AOE(Circle) 9 Radius,,1350¥ Deploy,,,,,,Ground,AOE(Circle) 10 Radius,,1350¥ Deploy,,,,,,Ground,AOE(Circle) 10 Radius,,2000¥ Deploy,,,,,,Ground,AOE(Line) 5 Width,,1600¥ Deploy,
,Upgrade 0,,,Max Upgrade,,92700,,3,,Upgrade 0,,,Max Upgrade,,61950,,4,,Upgrade 0,,,Max Upgrade,,58950,,4,0,Upgrade 0,,,Max Upgrade,,52100,,4,,Upgrade 0,,,Max Upgrade,,54700,,4,,Upgrade 0,,,Max Upgrade,,82000,,3,,Upgrade 0,,,Max Upgrade,,62100,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,6336,,Damage,190109,,214,59409.0625,,Damage,5338,,Damage,126785,,256,63392.5,,Damage,5153,,Damage,86978,,258,60884.6,,Damage,3290.45,,Damage,90199,,216,45099.5,,Damage,4659,,Damage,60884,,247,54119.11111,,Damage,4969,,Damage,62126,,114,27956.7,,Damage,3220,,Damage,55223,,111,27611.5
,Range ,20,,Range ,25,,,,,Range ,20,,Range ,35,,,,,Range ,10,,Range ,35,,,,,Range ,26,,Range ,35,,,,,Range ,19,,Range ,33,,,,,Range ,23,,Range ,33,,,,,Range ,16,,Range ,35,,,
,SPA,7.5,,SPA,12,,,,,SPA,6.5,,SPA,8,,,,,SPA,6,,SPA,8,,,,,SPA,6,,SPA,8,,,,,SPA,6.5,,SPA,4.5,,,,,SPA,12,,SPA,10,,,,,SPA,8,,SPA,8,,,
,,,,56050,,92700,,3,,,,,56050,,61950,,4,,,,,56050,,58950,,4,,,,,56050,,52100,,4,,,,,56050,,54700,,4,,,,,56050,,82000,,3,,,,,56050,,62100,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,7603,,Damage,228131,56050,285,79212.08333,,Damage,6406,,Damage,152142,56050,341,84523.33333,,Damage,6184,,Damage,104374,56050,344,81179.46667,,Damage,3949,,Damage,108239,56050,289,60132.66667,,Damage,5591,,Damage,73061,56050,330,72158.81481,,Damage,5963,,Damage,74551,56050,146,36033.08,,Damage,3864,,Damage,66268,56050,148,36815.33333
,Range ,22.0,,Range ,27.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,11.0,,Range ,38.5,56050,,,,Range ,28.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,
,SPA,6.8,,SPA,10.8,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.9,,SPA,4.1,56050,,,,SPA,10.8,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,30413,,Damage,912523,56050,1266,117351.2346,,Damage,25622,,Damage,608568,56050,1516,93914.81481,,Damage,24734,,Damage,417494,56050,1530,90199.40741,,Damage,15794,,Damage,432955,56050,1282,66814.07407,,Damage,22363,,Damage,292243,56050,1466,80176.46091,,Damage,23851,,Damage,298205,56050,631,51725.64741,,Damage,15456,,Damage,265070,56050,659,40905.92593
,Range ,24.2,,Range ,30.3,56050,,,,Range ,24.2,,Range ,42.4,56050,,,,Range ,12.1,,Range ,42.4,56050,,,,Range ,31.5,,Range ,42.4,56050,,,,Range ,23.0,,Range ,39.9,56050,,,,Range ,27.8,,Range ,39.9,56050,,,,Range ,19.4,,Range ,42.4,56050,,
,SPA,6.1,,SPA,9.7,56050,,,,SPA,5.3,,SPA,6.5,56050,,,,SPA,4.9,,SPA,6.5,56050,,,,SPA,4.9,,SPA,6.5,56050,,,,SPA,5.3,,SPA,3.6,56050,,,,SPA,9.7,,SPA,8.1,56050,,,,SPA,6.5,,SPA,6.5,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,9124,,Damage,273757,56050,380,105616.1111,,Damage,7687,,Damage,182570,56050,455,112697.7778,,Damage,7420,,Damage,125248,56050,459,108239.2889,,Damage,4738,,Damage,129887,56050,385,80176.88889,,Damage,6709,,Damage,87673,56050,440,96211.75309,,Damage,7155,,Damage,89461,56050,189,46553.08267,,Damage,4637,,Damage,79521,56050,198,49087.11111
,Range ,26.4,,Range ,33.0,56050,,,,Range ,26.4,,Range ,46.2,56050,,,,Range ,13.2,,Range ,46.2,56050,,,,Range ,34.3,,Range ,46.2,56050,,,,Range ,25.1,,Range ,43.6,56050,,,,Range ,30.4,,Range ,43.6,56050,,,,Range ,21.1,,Range ,46.2,56050,,
,SPA,6.1,,SPA,9.7,56050,,,,SPA,5.3,,SPA,6.5,56050,,,,SPA,4.9,,SPA,6.5,56050,,,,SPA,4.9,,SPA,6.5,56050,,,,SPA,5.3,,SPA,3.6,56050,,,,SPA,9.7,,SPA,8.1,56050,,,,SPA,6.5,,SPA,6.5,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,8364,,Damage,250944,56050,376,104559.95,,Damage,7046,,Damage,167356,56050,450,111570.8,,Damage,6802,,Damage,114811,56050,454,107156.896,,Damage,4343,,Damage,119063,56050,381,79375.12,,Damage,6150,,Damage,80367,56050,435,95249.63556,,Damage,6559,,Damage,82006,56050,193,47563.6656,,Damage,4250,,Damage,72894,56050,196,48596.24
,Range ,22.0,,Range ,30.3,56050,,,,Range ,22.0,,Range ,42.4,56050,,,,Range ,11.0,,Range ,42.4,56050,,,,Range ,28.6,,Range ,42.4,56050,,,,Range ,20.9,,Range ,39.9,56050,,,,Range ,25.3,,Range ,39.9,56050,,,,Range ,17.6,,Range ,42.4,56050,,
,SPA,6.8,,SPA,10.8,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.9,,SPA,4.1,56050,,,,SPA,10.8,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,9884,,Damage,296570,56050,370,102975.7083,,Damage,8327,,Damage,197785,56050,443,109880.3333,,Damage,8039,,Damage,135686,56050,448,105533.3067,,Damage,5133,,Damage,140710,56050,375,78172.46667,,Damage,7268,,Damage,94979,56050,429,93806.45926,,Damage,7752,,Damage,96917,56050,190,46843.004,,Damage,5023,,Damage,86148,56050,193,47859.93333
,Range ,22.0,,Range ,27.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,11.0,,Range ,38.5,56050,,,,Range ,28.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,
,SPA,6.8,,SPA,10.8,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.9,,SPA,4.1,56050,,,,SPA,10.8,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,7603,,Damage,228131,56050,356,99015.10417,,Damage,6406,,Damage,152142,56050,426,105654.1667,,Damage,6184,,Damage,104374,56050,430,101474.3333,,Damage,3949,,Damage,108239,56050,361,75165.83333,,Damage,5591,,Damage,73061,56050,412,90198.51852,,Damage,5963,,Damage,74551,56050,172,42245.68,,Damage,3864,,Damage,66268,56050,185,46019.16667
,Range ,22.0,,Range ,27.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,11.0,,Range ,38.5,56050,,,,Range ,28.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,25.3,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,
,SPA,5.4,,SPA,8.6,56050,,,,SPA,4.7,,SPA,5.8,56050,,,,SPA,4.3,,SPA,5.8,56050,,,,SPA,4.3,,SPA,5.8,56050,,,,SPA,4.7,,SPA,3.2,56050,,,,SPA,8.6,,SPA,7.2,56050,,,,SPA,5.8,,SPA,5.8,56050,,
,,,,Max Upgrade,,92700,,3,,,,,Max Upgrade,,61950,,4,,,,,Max Upgrade,,58950,,4,,,,,Max Upgrade,,52100,,4,,,,,Max Upgrade,,54700,,4,,,,,Max Upgrade,,82000,,3,,,,,Max Upgrade,,62100,,4
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,7603,,Damage,228131,56050,285,79212.08333,,Damage,6406,,Damage,152142,56050,341,84523.33333,,Damage,6184,,Damage,104374,56050,344,81179.46667,,Damage,3949,,Damage,108239,56050,289,60132.66667,,Damage,5591,,Damage,73061,56050,330,72158.81481,,Damage,5963,,Damage,74551,56050,146,36033.08,,Damage,3864,,Damage,66268,56050,148,36815.33333
,Range ,27.5,,Range ,34.4,56050,,,,Range ,27.5,,Range ,48.1,56050,,,,Range ,13.8,,Range ,48.1,56050,,,,Range ,35.8,,Range ,48.1,56050,,,,Range ,26.1,,Range ,45.4,56050,,,,Range ,31.6,,Range ,45.4,56050,,,,Range ,22.0,,Range ,48.1,56050,,
,SPA,6.8,,SPA,10.8,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,5.9,,SPA,4.1,56050,,,,SPA,10.8,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,
,,,,,,92700,,3,,,,,,,61950,,4,,,,,,,58950,,4,,,,,,,52100,,4,,,,,,,54700,,4,,,,,,,82000,,3,,,,,,,62100,,4
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS
