v,Bakugo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Deku,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Endeavor,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Hawks,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Shigaraki,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Veku,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Akeno,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Rias,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kuneko,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jin Mori,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Unohana,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Rose,64050,¥,Cost /DPSx1000,4,,,,,Storm,68850,¥,Cost /DPSx1000,4,,,,,Fire,97000,¥,Cost /DPSx1000,3,,,,,Fire,49200,¥,Cost /DPSx1000,4,,,,,Dark,85100,¥,Cost /DPSx1000,3,,,,,Water,21000,¥,Cost /DPSx1000,5,,,,,Dark,80000,¥,Cost /DPSx1000,3,,,,,Rose,52050,¥,Cost /DPSx1000,3,,,,,Storm,45300,¥,Cost /DPSx1000,5,,,,,Storm,37250,¥,Cost /DPSx1000,4,,,,,Fire,57800,¥,Cost /DPSx1000,3
,,,,Ground,AOE(Circle) 15 Radius,,1250¥ Deploy,,,,,,Ground,AOE(Line) 10 Width,,1350¥ Deploy,,,,,,Ground,AOE (Cone) 60° Angle,,2000 ¥ Deploy,,,,,,Hill,AOE(Circle) 10 Radius,,1300 ¥ Deploy,,,,,,Ground,Full AOE,,1600¥ Deploy,,,,,,Ground,AOE(Circle) 5 Radius,,1000¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,2000¥ Deploy,,,,,,Hill,Full AOE,,1600¥ Deploy,,,,,,Ground,AOE(Cone) 45° Angle,,1200¥ Deploy,,,,,,Ground,Full AOE,,1600¥ Deploy,,,,,,Hybrid,Full AOE,,1300¥ Deploy,
,Upgrade 0,,,Max Upgrade,,64050,,4,,Upgrade 0,,,Max Upgrade,,68850,,4,,Upgrade 0,,,Max Upgrade,,97000,,3,,Upgrade 0,,,Max Upgrade,,49200,,4,,Upgrade 0,,,True ,Max Upgrade,85100,,3,,Upgrade 0,,,Max Upgrade,,21000,,5,,Upgrade 0,,,Max Upgrade,,80000,,3,,Upgrade 0,,,Max Upgrade,,52050,,3,,Upgrade 0,,,Max Upgrade,,45300,,5,,Upgrade 0,,,Max Upgrade,,37250,,4,,Upgrade 0,,,Max Upgrade,,57800,,3
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,4187.61,,Damage,89739,,234,59826,,Damage,4768.11,,Damage,131618.13,,273,75210.36,,Damage,5521,,Damage,151866,,235,68339.7,,Damage,3290.45,,Damage,47382.53,,257,50541.36533,,Damage,6212,,Damage,74552,,257,65605.76,,Damage,1400,,Damage,20000,,159,16666.66667,,Damage,7179,,Damage,143582,,150,35895.5,,Damage,4758,,Damage,65808,,126,19742.4,,Damage,5383,,Damage,77745,,191,43191.66667,,Damage,5522.44,,Damage,32214.23,,108,16107.115,,Damage,3681.63,,Damage,50622.36,,146,25311.18
,Range ,23,,Range ,42,,,,,Range ,20,,Range ,23.3,,,,,Range ,21,,Range ,33,,,,,Range ,26,,Range ,40,,,,,Range ,17,,Range ,26,,,,,Range ,15,,Range ,21,,,,,Range ,18,,Range ,32,,,,,Range ,15,,Range ,22,,,,,Range ,16,,Range ,27,,,,,Range ,15,,Range ,30,,,,,Range ,17,,Range ,25,,,
,SPA,7,,SPA,6,,,,,SPA,6,,SPA,7,,,,,SPA,8,,SPA,10,,,,,SPA,6,,SPA,4.5,,,,,SPA,6,,SPA,7.5,,,,,SPA,7,,SPA,6,,,,,SPA,8,,SPA,12,,,,,SPA,6,,SPA,10,,,,,SPA,7,,SPA,9,,,,,SPA,7,,SPA,8,,,,,SPA,8,,SPA,9,,,
,,,,56050,,64050,,4,,,,,56050,,68850,,4,,,,,56050,,97000,,3,,,,,56050,,49200,,4,,,,,56050,,85100,,3,,,,,56050,,21000,,5,,,,,56050,,80000,,3,,,,,56050,,52050,,3,,,,,56050,,45300,,5,,,,,56050,,37250,,4,,,,,56050,,57800,,3
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,5025,,Damage,107687,56050,311,79768,,Damage,5722,,Damage,157942,56050,364,100280.48,,Damage,6625,,Damage,182239,56050,313,91119.6,,Damage,3949,,Damage,56859,56050,285,56157.07259,,Damage,7454,,Damage,89462,56050,343,87474.34667,,Damage,1680,,Damage,24000,56050,212,22222.22222,,Damage,8615,,Damage,172298,56050,199,47860.66667,,Damage,5710,,Damage,78970,56050,169,26323.2,,Damage,6460,,Damage,93294,56050,254,57588.88889,,Damage,6627,,Damage,38657,56050,144,21476.15333,,Damage,4418,,Damage,60747,56050,192,33304.18421
