v,Homura,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Madoka,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Sayako,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Kyoka,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Mamy,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Charmi,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Mash Vandead,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Dark,74100,¥,Cost /DPSx1000,3,,,,,Rose,62850,¥,Cost /DPSx1000,4,,,,,Water,44000,¥,Cost /DPSx1000,5,,,,,Fire,80250,¥,Cost /DPSx1000,4,,,,,Light,96200,¥,Cost /DPSx1000,3,,,,,Rose,49250,¥,Cost /DPSx1000,5,,,,,,60400,¥,Cost /DPSx1000,5
,,,,Hybrid,AOE(Circle) 14 Radius,,1600¥ Deploy,,,,,,Hill,AOE(Circle) 11 Radius,,1400¥ Deploy,,,,,,Ground,AOE(Circle) 9 Radius,,1200¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1750¥ Deploy,,,,,,Hybrid,AOE(Circle) 15 Radius,,1700¥ Deploy,,,,,,Ground,AOE(Circle) -- Radius,,1250¥ Deploy,,,,,,Ground,AOE(Circle) -- Radius,,1200¥ Deploy,
,Upgrade 0,,,Max Upgrade,,74100,,3,,Upgrade 0,,,Max Upgrade,,62850,,4,,Upgrade 0,,,Max Upgrade,,44000,,5,,Upgrade 0,,,Max Upgrade,,80250,,4,,Upgrade 0,,,Max Upgrade,,96200,,3,,Upgrade 0,,,Max Upgrade,,49250,,5,,Upgrade 0,,,Max Upgrade,,60400,,5
,Base Stats,,,,,74100,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,6902,,Damage,115050.6,74100,259,57525.3,,Damage,5085,,Damage,88543,,217,54488,,Damage,6001,,Damage,77647,,490,107843.0556,,Damage,4786,,Damage,143583,,224,71791.5,,Damage,9664,,Damage,199728,,231,66576,,Damage,3590,,Damage,47861,,121,29913.125,,Damage,2991.32,,Damage,83757,,213,64428.46154
,Range ,15,,Range ,32,74100,,,,Range ,27.3,,Range ,45,,,,,Range ,19,,Range ,25,,,,,Range ,20,,Range ,40,,,,,Range ,15,,Range ,35,,,,,Range ,20,,Range ,35,,,,,Range ,24.5,,Range ,31,,,
,SPA,5,,SPA,6,74100,,,,SPA,8,,SPA,6.5,,,,,SPA,7,,SPA,4.5,,,,,SPA,6.5,,SPA,8,,,,,SPA,6,,SPA,9,,,,,SPA,8,,SPA,8,,,,,SPA,6.5,,SPA,6.5,,,
,,,,56050,,74100,,3,,,,,56050,,62850,,4,,,,,56050,,44000,,5,,,,,56050,,80250,,4,,,,,56050,,96200,,3,,,,,56050,,49250,,5,,,,,56050,,60400,,5
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,8282,,Damage,138061,56050,345,76700.4,,Damage,6102,,Damage,106252,56050,289,72650.66667,,Damage,7201,,Damage,93176,56050,654,143790.7407,,Damage,5743,,Damage,172300,56050,298,95722,,Damage,11597,,Damage,239674,56050,308,88768,,Damage,4308,,Damage,57433,56050,162,39884.16667,,Damage,3590,,Damage,100508,56050,284,85904.61538
,Range ,16.5,,Range ,35.2,56050,,,,Range ,30.0,,Range ,49.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,16.5,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,27.0,,Range ,34.1,56050,,
,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,5.9,,SPA,5.9,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,33130,,Damage,552243,56050,1533,113630.2222,,Damage,24408,,Damage,425006,56050,1284,80722.96296,,Damage,28805,,Damage,372706,56050,2905,127813.9918,,Damage,22973,,Damage,689198,56050,1325,106357.7778,,Damage,46387,,Damage,958694,56050,1367,131508.1481,,Damage,17232,,Damage,229733,56050,720,35452.59259,,Damage,14358,,Damage,402034,56050,1264,76359.65812
,Range ,18.2,,Range ,38.7,56050,,,,Range ,33.0,,Range ,54.5,56050,,,,Range ,23.0,,Range ,30.3,56050,,,,Range ,24.2,,Range ,48.4,56050,,,,Range ,18.2,,Range ,42.4,56050,,,,Range ,24.2,,Range ,42.4,56050,,,,Range ,29.6,,Range ,37.5,56050,,
,SPA,4.1,,SPA,4.9,56050,,,,SPA,6.5,,SPA,5.3,56050,,,,SPA,5.7,,SPA,3.6,56050,,,,SPA,5.3,,SPA,6.5,56050,,,,SPA,4.9,,SPA,7.3,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.3,,SPA,5.3,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,9939,,Damage,165673,56050,460,102267.2,,Damage,7322,,Damage,127502,56050,385,96867.55556,,Damage,8641,,Damage,111812,56050,871,191720.9877,,Damage,6892,,Damage,206760,56050,398,127629.3333,,Damage,13916,,Damage,287608,56050,410,118357.3333,,Damage,5170,,Damage,68920,56050,216,53178.88889,,Damage,4308,,Damage,120610,56050,379,114539.4872
,Range ,19.8,,Range ,42.2,56050,,,,Range ,36.0,,Range ,59.4,56050,,,,Range ,25.1,,Range ,33.0,56050,,,,Range ,26.4,,Range ,52.8,56050,,,,Range ,19.8,,Range ,46.2,56050,,,,Range ,26.4,,Range ,46.2,56050,,,,Range ,32.3,,Range ,40.9,56050,,
,SPA,4.1,,SPA,4.9,56050,,,,SPA,6.5,,SPA,5.3,56050,,,,SPA,5.7,,SPA,3.6,56050,,,,SPA,5.3,,SPA,6.5,56050,,,,SPA,4.9,,SPA,7.3,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.3,,SPA,5.3,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,9111,,Damage,151867,56050,455,101244.528,,Damage,6712,,Damage,116877,56050,381,95898.88,,Damage,7921,,Damage,102494,56050,863,189803.7778,,Damage,6318,,Damage,189530,56050,394,126353.04,,Damage,12756,,Damage,263641,56050,406,117173.76,,Damage,4739,,Damage,63177,56050,214,52647.1,,Damage,3949,,Damage,110559,56050,375,113394.0923
,Range ,16.5,,Range ,38.7,56050,,,,Range ,30.0,,Range ,54.5,56050,,,,Range ,20.9,,Range ,30.3,56050,,,,Range ,22.0,,Range ,48.4,56050,,,,Range ,16.5,,Range ,42.4,56050,,,,Range ,22.0,,Range ,42.4,56050,,,,Range ,27.0,,Range ,37.5,56050,,
,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,5.9,,SPA,5.9,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,10767,,Damage,179479,56050,449,99710.52,,Damage,7933,,Damage,138127,56050,376,94445.86667,,Damage,9362,,Damage,121129,56050,850,186927.963,,Damage,7466,,Damage,223989,56050,388,124438.6,,Damage,15076,,Damage,311576,56050,400,115398.4,,Damage,5600,,Damage,74663,56050,211,51849.41667,,Damage,4666,,Damage,130661,56050,370,111676
,Range ,16.5,,Range ,35.2,56050,,,,Range ,30.0,,Range ,49.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,16.5,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,27.0,,Range ,34.1,56050,,
,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,5.9,,SPA,7.2,56050,,,,SPA,5.4,,SPA,8.1,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,5.9,,SPA,5.9,56050,,
,,,,,,74100,,3,,,,,,,62850,,4,,,,,,,44000,,5,,,,,,,80250,,4,,,,,,,96200,,3,,,,,,,49250,,5,,,,,,,60400,,5
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS
,Damage,8282,,Damage,138061,56050,431,95875.5,,Damage,6102,,Damage,106252,56050,361,90813.33333,,Damage,7201,,Damage,93176,56050,817,179738.4259,,Damage,5743,,Damage,172300,56050,373,119652.5,,Damage,11597,,Damage,239674,56050,384,110960,,Damage,4308,,Damage,57433,56050,202,49855.20833,,Damage,3590,,Damage,100508,56050,356,107380.7692
,Range ,16.5,,Range ,35.2,56050,,,,Range ,30.0,,Range ,49.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,16.5,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,27.0,,Range ,34.1,56050,,
,SPA,3.6,,SPA,4.3,56050,,,,SPA,5.8,,SPA,4.7,56050,,,,SPA,5.0,,SPA,3.2,56050,,,,SPA,4.7,,SPA,5.8,56050,,,,SPA,4.3,,SPA,6.5,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,4.7,,SPA,4.7,56050,,
,,,,Max Upgrade,,74100,,3,,,,,Max Upgrade,,62850,,4,,,,,Max Upgrade,,44000,,5,,,,,Max Upgrade,,80250,,4,,,,,Max Upgrade,,96200,,3,,,,,Max Upgrade,,49250,,5,,,,,Max Upgrade,,60400,,5
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS
,Damage,8282,,Damage,138061,56050,345,76700.4,,Damage,6102,,Damage,106252,56050,289,72650.66667,,Damage,7201,,Damage,93176,56050,654,143790.7407,,Damage,5743,,Damage,172300,56050,298,95722,,Damage,11597,,Damage,239674,56050,308,88768,,Damage,4308,,Damage,57433,56050,162,39884.16667,,Damage,3590,,Damage,100508,56050,284,85904.61538
