v,Luffy,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Usopp,,,Air,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Doflamingo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Trafalger D. Law,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Sabo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Fujitora,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Fire,71700,¥,Cost /DPSx1000,4,,,,,True ,68500,¥,Cost /DPSx1000,3,,,,,Rose,120000,¥,Cost /DPSx1000,3,,,,,Water,73150,¥,Cost /DPSx1000,3,,,,,Fire,40900,¥,Cost /DPSx1000,5,,,,,Dark,66500,¥,Cost /DPSx1000,4
,,,,Hybrid,AOE(Circle) 15 Radius,,1700¥ Deploy,,,,,,Hybrid, AOE(Circle) 8 Radius Traps,,1000¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,2000¥ Deploy,,,,,,Ground,AOE(Circle) 11 Radius,,1600¥ Deploy,,,,,,Ground,AOE(Circle)11 Radius ,,1200¥ Deploy,,,,,,Hill,AOE(Circle) 16 Radius,,1400¥ Deploy,
,Upgrade 0,,,Max Upgrade,,71700,,4,,Upgrade 0,,,Max Upgrade,,68500,,3,,Upgrade 0,,,Max Upgrade,,120000,,3,,Upgrade 0,,,Max Upgrade,,73150,,3,,Upgrade 0,,,Max Upgrade,,40900,,5,,Upgrade 0,,,Max Upgrade,,66500,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,9872,,Damage,161531,,331,95018.23529,,Damage,13805,,Damage,414182,,605,124254.6,,Damage,6314,,Damage,289928,,302,108723,,Damage,9664,,Damage,128856,,271,59472,,Damage,4348,,Damage,80765,,346,70669.375,,Damage,6285.13,,Damage,157205,,215,57165.45455
,Range ,17,,Range ,35,,,,,Range ,15,,Range ,10,,,,,Range ,23,,Range ,38,,,,,Range ,18,,Range ,33,,,,,Range ,23,,Range ,36,,,,,Range ,24,,Range ,40,,,
,SPA,6.8,,SPA,6.8,,,,,SPA,7,,SPA,5,,,,,SPA,6,,SPA,8,,,,,SPA,8,,SPA,6.5,,,,,SPA,9,,SPA,8,,,,,SPA,8.5,,SPA,11,,,
,,,,56050,,71700,,4,,,,,56050,,68500,,3,,,,,56050,,120000,,3,,,,,56050,,73150,,3,,,,,56050,,40900,,5,,,,,56050,,66500,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,11846,,Damage,193837,56050,442,126690.9804,,Damage,16566,,Damage,497018,56050,764,156953.1789,,Damage,7577,,Damage,347914,56050,403,144964,,Damage,11597,,Damage,154627,56050,361,79296,,Damage,5218,,Damage,96918,56050,461,94225.83333,,Damage,7542,,Damage,188646,56050,287,76220.60606
,Range ,18.7,,Range ,38.5,56050,,,,Range ,16.5,,Range ,11.0,56050,,,,Range ,25.3,,Range ,41.8,56050,,,,Range ,19.8,,Range ,36.3,56050,,,,Range ,25.3,,Range ,39.6,56050,,,,Range ,26.4,,Range ,44.0,56050,,
,SPA,6.1,,SPA,6.1,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,7.2,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,8.1,,SPA,7.2,56050,,,,SPA,7.7,,SPA,9.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,1,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,47386,,Damage,775349,56050,1963,140767.756,,Damage,66264,,Damage,1988074,56050,3207,219676.6409,,Damage,30307,,Damage,1391654,56050,1790,214761.4815,,Damage,46387,,Damage,618509,56050,1606,117475.5556,,Damage,20870,,Damage,387672,56050,2048,83756.2963,,Damage,30169,,Damage,754584,56050,1274,84689.56229
,Range ,20.6,,Range ,42.4,56050,,,,Range ,18.2,,Range ,11.0,56050,,,,Range ,27.8,,Range ,46.0,56050,,,,Range ,21.8,,Range ,39.9,56050,,,,Range ,27.8,,Range ,43.6,56050,,,,Range ,29.0,,Range ,48.4,56050,,
,SPA,5.5,,SPA,5.5,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,4.9,,SPA,6.5,56050,,,,SPA,6.5,,SPA,5.3,56050,,,,SPA,7.3,,SPA,6.5,56050,,,,SPA,6.9,,SPA,8.9,56050,,
,,,,,,71700,,4,,,,,,,68500,,3,,,,,,,120000,,3,,,,,,,73150,,3,,,,,,,40900,,5,,,,,,,66500,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,14216,,Damage,232605,56050,589,168921.3072,,Damage,19879,,Damage,596422,56050,962,197708.9768,,Damage,9092,,Damage,417496,56050,537,193285.3333,,Damage,13916,,Damage,185553,56050,482,105728,,Damage,6261,,Damage,116302,56050,614,125634.4444,,Damage,9051,,Damage,226375,56050,382,101627.4747
