v,Asuna,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Kirito,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Leafa,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Heathcliff,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Klien,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Stain,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,,,,Rose,56050,¥,Cost /DPSx1000,4,,,,,Storm,72200,¥,Cost /DPSx1000,4,,,,,Air,30000,¥,Cost /DPSx1000,6,,,,,Fire,76300,¥,Cost /DPSx1000,3,,,,,Fire,39400,¥,Cost /DPSx1000,5,,,,,Dark,66600,¥,(Cost/DPS)x1000,3,
,,,,Ground,AOE(Circle) 10 Radius,,1400¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1500¥ Deploy,,,,,,Hybrid,AOE(Circle) 8 Radius,,1000¥ Deploy,,,,,,Ground,AOE(Circle) 15 Radius,,1800¥ Deploy,,,,,,Ground,AOE(Circle) 10 Radius,,1400¥ Deploy,,,,,,Ground,AOE(Circle) 15 Radius,,1500¥ Deploy,,
,Upgrade 0,,,Max Upgrade,,56050,,4,,Upgrade 0,,,Max Upgrade,,72200,,4,,Upgrade 0,,,Max Upgrade,,30000,,6,,Upgrade 0,,,Max Upgrade,,76300,,3,,Upgrade 0,,,Max Upgrade,,39400,,5,,Upgrade 0,,,Max Upgrade,,66600,,3,
,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,72200,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,
,Damage,8465.7,,Damage,96641.9,56050,383,85903.91111,,Damage,8973,,Damage,227340,72200,350,101040,,Damage,4142,,Damage,41418.1,,173,31063.575,,Damage,18403,,Damage,294525.48,,386,88358,,Damage,7593,,Damage,69030,,438,86287.5,,Damage,3968.57,,Damage,79298,,521,104078.625,
,Range ,20,,Range ,37,56050,,,,Range ,18,,Range ,32,72200,,,,Range ,25,,Range ,25,,,,,Range ,17,,Range ,30,,,,,Range ,17,,Range ,31,,,,,Range ,19,,Range ,33,,,,
,SPA,7,,SPA,4.5,56050,,,,SPA,7,,SPA,9,72200,,,,SPA,10,,SPA,8,,,,,SPA,9,,SPA,10,,,,,SPA,7,,SPA,5,,,,,SPA,6,,SPA,6.5,,,,
,,,,56050,,56050,,4,,,,,56050,,72200,,4,,,,,56050,,30000,,6,,,,,56050,,76300,,3,,,,,56050,,39400,,5,,,,,56050,,66600,,3,
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,
,Damage,10159,,Damage,115970,56050,511,114538.5481,,Damage,10768,,Damage,272808,56050,466,134720,,Damage,4970,,Damage,49702,56050,230,41418.1,,Damage,22084,,Damage,353431,56050,515,117810.192,,Damage,9112,,Damage,82836,56050,584,115050,,Damage,4762,,Damage,95158,56050,665,132824.15,
,Range ,22.0,,Range ,40.7,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,27.5,,Range ,27.5,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,18.7,,Range ,34.1,56050,,,,Range ,20.9,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,9.0,,SPA,7.2,56050,,,,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,5.4,,SPA,5.9,56050,,,
,,,,,,56050,,4,,,,,,,72200,,4,,,,,,,30000,,6,,,,,,,76300,,3,,,,,,,39400,,5,,,,,,,66600,,3,
