v,Poseidon,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Roger,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Kisame,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Harribel,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Avdol,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,,,,Water,117500,¥,Cost /DPSx1000,3,,,,,Fire,109250,¥,Cost /DPSx1000,3,,,,,Storm,49700,¥,Cost /DPSx1000,4,,,,,Water,63800,¥,Cost /DPSx1000,4,,,,,Fire,81700,¥,Cost /DPSx1000,3,
,,,,Hybrid,AOE Full,,2000¥ Deploy,,,,,,Ground,AOE(Circle) 11 Radius,,1750¥ Deploy,,,,,,Ground,AOE(Circle) 11 Radius,,1200¥ Deploy,,,,,,Hill,AOE(Circle) 9 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 14 Radius,,1500¥ Deploy,,
,Upgrade 0,,,Max Upgrade,,117500,,3,,Upgrade 0,,,Max Upgrade,,109250,,3,,Upgrade 0,,,Max Upgrade,,49700,,4,,Upgrade 0,,,Max Upgrade,,63800,,4,,Upgrade 0,,,Max Upgrade,,81700,,3,
,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,
,Damage,17257,,Damage,248509,56050,211,74552.7,,Damage,12885,,Damage,225499,56050,375,122999.4545,,Damage,5154,,Damage,90199,56050,403,80176.88889,,Damage,5982,,Damage,119652,56050,268,68372.57143,,Damage,5591,,Damage,155318,56050,291,71263.55294,
,Range ,15,,Range ,27,56050,,,,Range ,16,,Range ,35,56050,,,,Range ,20,,Range ,35,56050,,,,Range ,22,,Range ,36,56050,,,,Range ,18,,Range ,29,56050,,,
,SPA,9,,SPA,10,56050,,,,SPA,7.5,,SPA,5.5,56050,,,,SPA,7,,SPA,4.5,56050,,,,SPA,7,,SPA,7,56050,,,,SPA,7.5,,SPA,8.5,56050,,,
,,,,56050,,117500,,3,,,,,56050,,109250,,3,,,,,56050,,49700,,4,,,,,56050,,63800,,4,,,,,56050,,81700,,3,
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,
,Damage,20708,,Damage,298211,56050,282,99403.6,,Damage,15462,,Damage,270599,56050,500,163999.2727,,Damage,6185,,Damage,108239,56050,538,106902.5185,,Damage,7178,,Damage,143582,56050,357,91163.42857,,Damage,6709,,Damage,186382,56050,388,95018.07059,
,Range ,16.5,,Range ,28.1,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,24.2,,Range ,39.6,56050,,,,Range ,19.8,,Range ,31.9,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,
,Damage,82834,,Damage,1192843,56050,1253,147264.5926,,Damage,61848,,Damage,1082395,56050,2224,242961.8855,,Damage,24739,,Damage,432955,56050,2390,118780.5761,,Damage,28714,,Damage,574330,56050,1588,101292.6984,,Damage,26837,,Damage,745526,56050,1723,140767.512,
,Range ,18.2,,Range ,30.9,56050,,,,Range ,19.4,,Range ,42.4,56050,,,,Range ,24.2,,Range ,42.4,56050,,,,Range ,26.6,,Range ,43.6,56050,,,,Range ,21.8,,Range ,35.1,56050,,,
,SPA,7.3,,SPA,8.1,56050,,,,SPA,6.1,,SPA,4.5,56050,,,,SPA,5.7,,SPA,3.6,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,6.1,,SPA,6.9,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,
,Damage,24850,,Damage,357853,56050,376,132538.1333,,Damage,18554,,Damage,324719,56050,667,218665.697,,Damage,7422,,Damage,129887,56050,717,142536.6914,,Damage,8614,,Damage,172299,56050,476,121551.2381,,Damage,8051,,Damage,223658,56050,517,126690.7608,
,Range ,19.8,,Range ,33.7,56050,,,,Range ,21.1,,Range ,46.2,56050,,,,Range ,26.4,,Range ,46.2,56050,,,,Range ,29.0,,Range ,47.5,56050,,,,Range ,23.8,,Range ,38.3,56050,,,
,SPA,7.3,,SPA,8.1,56050,,,,SPA,6.1,,SPA,4.5,56050,,,,SPA,5.7,,SPA,3.6,56050,,,,SPA,5.7,,SPA,5.7,56050,,,,SPA,6.1,,SPA,6.9,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,
,Damage,22779,,Damage,328032,56050,372,131212.752,,Damage,17008,,Damage,297659,56050,661,216479.04,,Damage,6803,,Damage,119063,56050,710,141111.3244,,Damage,7896,,Damage,157941,56050,472,120335.7257,,Damage,7380,,Damage,205020,56050,512,125423.8532,
,Range ,16.5,,Range ,30.9,56050,,,,Range ,17.6,,Range ,42.4,56050,,,,Range ,22.0,,Range ,42.4,56050,,,,Range ,24.2,,Range ,43.6,56050,,,,Range ,19.8,,Range ,35.1,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,
,Damage,26921,,Damage,387674,56050,367,129224.68,,Damage,20101,,Damage,351778,56050,650,213199.0545,,Damage,8040,,Damage,140710,56050,699,138973.2741,,Damage,9332,,Damage,186657,56050,464,118512.4571,,Damage,8722,,Damage,242296,56050,504,123523.4918,
,Range ,16.5,,Range ,28.1,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,24.2,,Range ,39.6,56050,,,,Range ,19.8,,Range ,31.9,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,
,Damage,20708,,Damage,298211,56050,352,124254.5,,Damage,15462,,Damage,270599,56050,625,204999.0909,,Damage,6185,,Damage,108239,56050,672,133628.1481,,Damage,7178,,Damage,143582,56050,447,113954.2857,,Damage,6709,,Damage,186382,56050,485,118772.5882,
,Range ,16.5,,Range ,28.1,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,24.2,,Range ,39.6,56050,,,,Range ,19.8,,Range ,31.9,56050,,,
,SPA,6.5,,SPA,7.2,56050,,,,SPA,5.4,,SPA,4.0,56050,,,,SPA,5.0,,SPA,3.2,56050,,,,SPA,5.0,,SPA,5.0,56050,,,,SPA,5.4,,SPA,6.1,56050,,,
,,,,Max Upgrade,,117500,,3,,,,,Max Upgrade,,109250,,3,,,,,Max Upgrade,,49700,,4,,,,,Max Upgrade,,63800,,4,,,,,Max Upgrade,,81700,,3,
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,
,Damage,20708,,Damage,298211,56050,282,99403.6,,Damage,15462,,Damage,270599,56050,500,163999.2727,,Damage,6185,,Damage,108239,56050,538,106902.5185,,Damage,7178,,Damage,143582,56050,357,91163.42857,,Damage,6709,,Damage,186382,56050,388,95018.07059,
,Range ,20.6,,Range ,35.1,56050,,,,Range ,22.0,,Range ,48.1,56050,,,,Range ,27.5,,Range ,48.1,56050,,,,Range ,30.3,,Range ,49.5,56050,,,,Range ,24.8,,Range ,39.9,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,
,Damage,23815,,Damage,342942,56050,324,114314.14,,Damage,17781,,Damage,311189,56050,575,188599.1636,,Damage,7113,,Damage,124475,56050,618,122937.8963,,Damage,8255,,Damage,165120,56050,411,104837.9429,,Damage,7716,,Damage,214339,56050,446,109270.7812,
,Range ,16.5,,Range ,28.1,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,24.2,,Range ,39.6,56050,,,,Range ,19.8,,Range ,31.9,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,
,Damage,23297,,Damage,335487,56050,317,111829.05,,Damage,17395,,Damage,304424,56050,563,184499.1818,,Damage,6958,,Damage,121769,56050,605,120265.3333,,Damage,8076,,Damage,161530,56050,402,102558.8571,,Damage,7548,,Damage,209679,56050,436,106895.3294,
,Range ,16.5,,Range ,28.1,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,24.2,,Range ,39.6,56050,,,,Range ,19.8,,Range ,31.9,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,
,Damage,22779,,Damage,328032,56050,310,109343.96,,Damage,17008,,Damage,297659,56050,550,180399.2,,Damage,6803,,Damage,119063,56050,592,117592.7704,,Damage,7896,,Damage,157941,56050,393,100279.7714,,Damage,7380,,Damage,205020,56050,426,104519.8776,
,Range ,16.5,,Range ,28.1,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,24.2,,Range ,39.6,56050,,,,Range ,19.8,,Range ,31.9,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,
,Damage,20708,,Damage,298211,56050,322,113604.1143,,Damage,15462,,Damage,270599,56050,572,187427.7403,,Damage,6185,,Damage,108239,56050,615,122174.3069,,Damage,7178,,Damage,143582,56050,408,104186.7755,,Damage,6709,,Damage,186382,56050,443,108592.0807,
,Range ,16.5,,Range ,28.1,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,24.2,,Range ,39.6,56050,,,,Range ,19.8,,Range ,31.9,56050,,,
,SPA,7.1,,SPA,7.9,56050,,,,SPA,5.9,,SPA,4.3,56050,,,,SPA,5.5,,SPA,3.5,56050,,,,SPA,5.5,,SPA,5.5,56050,,,,SPA,5.9,,SPA,6.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,
,Damage,20708,,Damage,298211,56050,305,107463.3514,,Damage,15462,,Damage,270599,56050,541,177296.5111,,Damage,6185,,Damage,108239,56050,581,115570.2903,,Damage,7178,,Damage,143582,56050,386,98555.05792,,Damage,6709,,Damage,186382,56050,419,102722.2385,
,Range ,16.5,,Range ,28.1,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,24.2,,Range ,39.6,56050,,,,Range ,19.8,,Range ,31.9,56050,,,
,SPA,7.5,,SPA,8.3,56050,,,,SPA,6.2,,SPA,4.6,56050,,,,SPA,5.8,,SPA,3.7,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,6.2,,SPA,7.1,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,
,Damage,20708,,Damage,298211,56050,297,104635.3684,,Damage,15462,,Damage,270599,56050,527,172630.8134,,Damage,6185,,Damage,108239,56050,566,112528.9669,,Damage,7178,,Damage,143582,56050,376,95961.50376,,Damage,6709,,Damage,186382,56050,408,100019.0217,
,Range ,16.5,,Range ,28.1,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,24.2,,Range ,39.6,56050,,,,Range ,19.8,,Range ,31.9,56050,,,
,SPA,7.7,,SPA,8.6,56050,,,,SPA,6.4,,SPA,4.7,56050,,,,SPA,6.0,,SPA,3.8,56050,,,,SPA,6.0,,SPA,6.0,56050,,,,SPA,6.4,,SPA,7.3,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,
,Damage,20708,,Damage,298211,56050,282,99403.6,,Damage,15462,,Damage,270599,56050,500,163999.2727,,Damage,6185,,Damage,108239,56050,538,106902.5185,,Damage,7178,,Damage,143582,56050,357,91163.42857,,Damage,6709,,Damage,186382,56050,388,95018.07059,
,Range ,19.0,,Range ,32.3,56050,,,,Range ,20.2,,Range ,44.3,56050,,,,Range ,25.3,,Range ,44.3,56050,,,,Range ,27.8,,Range ,45.5,56050,,,,Range ,22.8,,Range ,36.7,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,
,Damage,20708,,Damage,298211,56050,282,99403.6,,Damage,15462,,Damage,270599,56050,500,163999.2727,,Damage,6185,,Damage,108239,56050,538,106902.5185,,Damage,7178,,Damage,143582,56050,357,91163.42857,,Damage,6709,,Damage,186382,56050,388,95018.07059,
,Range ,18.6,,Range ,31.6,56050,,,,Range ,19.8,,Range ,43.3,56050,,,,Range ,24.8,,Range ,43.3,56050,,,,Range ,27.2,,Range ,44.6,56050,,,,Range ,22.3,,Range ,35.9,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,117500,,3,,,,,,,109250,,3,,,,,,,49700,,4,,,,,,,63800,,4,,,,,,,81700,,3,
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,
,Damage,20708,,Damage,298211,56050,282,99403.6,,Damage,15462,,Damage,270599,56050,500,163999.2727,,Damage,6185,,Damage,108239,56050,538,106902.5185,,Damage,7178,,Damage,143582,56050,357,91163.42857,,Damage,6709,,Damage,186382,56050,388,95018.07059,
,Range ,18.2,,Range ,30.9,56050,,,,Range ,19.4,,Range ,42.4,56050,,,,Range ,24.2,,Range ,42.4,56050,,,,Range ,26.6,,Range ,43.6,56050,,,,Range ,21.8,,Range ,35.1,56050,,,
,SPA,8.1,,SPA,9.0,56050,,,,SPA,6.8,,SPA,5.0,56050,,,,SPA,6.3,,SPA,4.1,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,6.8,,SPA,7.7,56050,,,
,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,,,,,,,56050,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unique Avdol DPS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG,,,Burn DMG,,, DPS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745526,,,45850,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196850,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacks,SPA,Burn Time,,Ticks,,200% DPS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,,10,,,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.1,9,,10,,635686,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12.2,9,,10,,,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18.4,9,,10,,300% DPS,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24.5,9,,10,,,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30.6,7,,10,,1243911,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,36.7,9,,10,,,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,42.8,9,,10,,,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,49.0,9,,10,,Dmg,Burn,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,55.1,9,,5,,1491053,244533,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2236579,550198,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aoe DPS,,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,2755900,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200%,8899597,6.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,300%,17414751,
