v,Guts,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Griffith Reincarnation,,,Magic,Cost Per Unit,¥,Placement Limit,v,Griffith Ascension,,Griffith Darkness,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Skull Knight,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Sengoku,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Chad,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Gabimaru,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Issei,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,,,Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fire,125950,¥,Cost /DPSx1000,3,,,,,Light,30000,¥,3,<-,, ->,,,,Dark,100000,¥,Cost /DPSx1000,3,,,,,Dark,122350,¥,Cost /DPSx1000,2,,,,,Light,77400,¥,Cost /DPSx1000,3,,,,,Storm,56050,¥,Cost /DPSx1000,4,,,,,Rose,55900,¥,Cost /DPSx1000,4,,,,,Air,50500,¥,Cost /DPSx1000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hybrid,AOE Full,,1450¥ Deploy,,,sacrifice 30k dmg of buff units,,,Ground,100% DMG Map Wide,,,,,,DMG EQ: (DMG/6.0714)*cost^.47,,,Hybrid,AOE Full,,1000¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1600¥ Deploy,,,,,,Ground,AOE(Circle) 18 Radius,,1500¥ Deploy,,,,,,Ground,AOE(Line) 15 Width,,1250¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1400¥ Deploy,,,,,,Ground,AOE(Cone) 30° Angle,,1500¥ Deploy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Upgrade 0,,,Max Upgrade,,125950,,3,,Upgrade 0,,,Max Upgrade,,30000,3,,,,Upgrade 0,,,Max Upgrade,,100000,,3,,Upgrade 0,,,Max Upgrade,,122350,,2,,Upgrade 0,,,Max Upgrade,,77400,,3,,Upgrade 0,,,Max Upgrade,,56050,,4,,Upgrade 0,,,Max Upgrade,,55900,,4,,Upgrade 0,,,Max Upgrade,,50500,,4,,,,Unique,,,,,,Sacrifice Amount,Percent,Dmg Increase,Dmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sacrifice Amount,Percent,Dmg Increase,Dmg
,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,Base DPS,,Info,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,,,,Damage,22526,,,,100000,100%,36.87,830621,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100%,36.87,830606
,Damage,5521.9,,Damage,262315,56050,200,75667.78846,,Damage,0,,Damage,0,56050,0,,This Unit transforms based on what type of unit you sacrifice,,Damage,4693,,Damage,173046,56050,216,64892.27137,,Damage,8465.7,,Damage,283484.76,56050,356,87226.08,,Damage,9213.27,,Damage,368530,56050,317,73706,,Damage,4522,,Damage,62126,56050,222,49700.8,,Damage,5383,,Damage,92132,56050,330,73705.6,,Damage,6441,,Damage,154628,56050,340,68723.55556,,,,,Range ,24.2,,,#VALUE!,120000,120%,40.17,904937,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,120%,40.17,904920
,Range ,17,,Range ,28,56050,,,,Range ,7,,Range ,7,56050,,,,,Range ,20,,Range ,40,56050,,,,Range ,20,,Range ,41,56050,,,,Range ,25,,Range ,38,56050,,,,Range ,21,,Range ,33,56050,,,,Range ,19,,Range ,30,56050,,,,Range ,20,,Range ,55,56050,,,,,,,SPA,6.1,,,,140000,140%,43.19,972933,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000,140%,43.19,972916
,SPA,7,,SPA,13,56050,,,,SPA,0,,SPA,0,56050,,,,,SPA,7.5,,SPA,8,56050,,,,SPA,7,,SPA,6.5,56050,,,,SPA,11,,SPA,15,56050,,,,SPA,6.5,,SPA,5,56050,,,,SPA,8,,SPA,7,56050,,,,SPA,8,,SPA,9,56050,,,,,,,,,,,,160000,160%,45.99,1035951,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,160%,45.99,1035933
,,,,56050,,125950,,3,,,,,56050,,30000,3,,,,,,,56050,,100000,,3,,,,,56050,,122350,,2,,,,,56050,,77400,,3,,,,,56050,,56050,,4,,,,,56050,,55900,,4,,,,,56050,,50500,,4,,,,,DPS,538484,,,,180000,180%,48.61,1094917,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,180%,48.61,1094897
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,MaxBase DPS,,Placements,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,,,,DPS,565820,,,,200000,200%,51.07,1150501,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,200%,51.07,1150481
,Damage,6626,,Damage,314778,56050,267,100890.3846,,Damage,0,,Damage,0,56050,0,,3,,Damage,5632,,Damage,207655,56050,288,86523.02849,,Damage,10159,,Damage,340182,56050,475,116301.44,,Damage,11056,,Damage,442236,56050,423,98274.66667,,Damage,5426,,Damage,74551,56050,296,66267.73333,,Damage,6460,,Damage,110558,56050,440,98274.13333,,Damage,7729,,Damage,185554,56050,454,91631.40741,,,,,DPS,591743,,,,220000,220%,53.41,1203210,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,220%,53.41,1203189
