v,Josuke Higashikata,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Kira Yoshikage,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Rohan,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Koiche Hirose,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,,,,Water,76500,¥,Cost /DPSx1000,3,,,,,Rose,104400,¥,Cost /DPSx1000,3,,,,,Light,48700,¥,Cost /DPSx1000,4,,,,,Air,55700,¥,Cost /DPSx1000,4,
,,,,Ground,AOE(Circle) 12 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 6 Radius,,1200¥ Deploy,,,,,,Hybrid,AOE(Circle) 12 Radius,,1200¥ Deploy,,
,Upgrade 0,,,Max Upgrade,,76500,,3,,Upgrade 0,,,Max Upgrade,,104400,,3,,Upgrade 0,,,Max Upgrade,,48700,,4,,Upgrade 0,,,Max Upgrade,,55700,,4,
,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,
,Damage,9019,,Damage,244827,56050,320,73448.1,,Damage,8375,,Damage,285801,56050,342,107175.375,,Damage,5752,,Damage,97792,56050,335,65194.66667,,Damage,9203,,Damage,103545,56050,266,59168.57143,
,Range ,20,,Range ,33,56050,,,,Range ,20,,Range ,35,56050,,,,Range ,17,,Range ,29,56050,,,,Range ,15,,Range ,30,56050,,,
,SPA,11,,SPA,10,56050,,,,SPA,8,,SPA,8,56050,,,,SPA,7,,SPA,6,56050,,,,SPA,8,,SPA,7,56050,,,
,,,,56050,,76500,,3,,,,,56050,,104400,,3,,,,,56050,,48700,,4,,,,,56050,,55700,,4,
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,
,Damage,10823,,Damage,293792,56050,427,97930.8,,Damage,10050,,Damage,342961,56050,456,142900.5,,Damage,6902,,Damage,117350,56050,446,86926.22222,,Damage,11044,,Damage,124254,56050,354,78891.42857,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,18.7,,Range ,31.9,56050,,,,Range ,16.5,,Range ,33.0,56050,,,
,SPA,9.9,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,
,Damage,43291,,Damage,1175170,56050,1897,145082.6667,,Damage,40200,,Damage,1371845,56050,2028,211704.4444,,Damage,27610,,Damage,469402,56050,1983,96584.69136,,Damage,44174,,Damage,497016,56050,1574,87657.14286,
,Range ,24.2,,Range ,39.9,56050,,,,Range ,24.2,,Range ,42.4,56050,,,,Range ,20.6,,Range ,35.1,56050,,,,Range ,18.2,,Range ,36.3,56050,,,
,SPA,8.9,,SPA,8.1,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,6.5,,SPA,5.7,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,
,Damage,12987,,Damage,352551,56050,569,130574.4,,Damage,12060,,Damage,411553,56050,608,190534,,Damage,8283,,Damage,140820,56050,595,115901.6296,,Damage,13252,,Damage,149105,56050,472,105188.5714,
,Range ,26.4,,Range ,43.6,56050,,,,Range ,26.4,,Range ,46.2,56050,,,,Range ,22.4,,Range ,38.3,56050,,,,Range ,19.8,,Range ,39.6,56050,,,
,SPA,8.9,,SPA,8.1,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,6.5,,SPA,5.67,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,
,Damage,11905,,Damage,323172,56050,563,129268.656,,Damage,11055,,Damage,377257,56050,602,188628.66,,Damage,7593,,Damage,129085,56050,589,114742.6133,,Damage,12148,,Damage,136679,56050,467,104136.6857,
,Range ,22.0,,Range ,39.9,56050,,,,Range ,22.0,,Range ,42.4,56050,,,,Range ,18.7,,Range ,35.1,56050,,,,Range ,16.5,,Range ,36.3,56050,,,
,SPA,9.9,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,
,Damage,14070,,Damage,381930,56050,555,127310.04,,Damage,13065,,Damage,445850,56050,593,185770.65,,Damage,8973,,Damage,152556,56050,580,113004.0889,,Damage,14357,,Damage,161530,56050,460,102558.8571,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,18.7,,Range ,31.9,56050,,,,Range ,16.5,,Range ,33.0,56050,,,
,SPA,9.9,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,
,Damage,10823,,Damage,293792,56050,533,122413.5,,Damage,10050,,Damage,342961,56050,570,178625.625,,Damage,6902,,Damage,117350,56050,558,108657.7778,,Damage,11044,,Damage,124254,56050,443,98614.28571,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,18.7,,Range ,31.9,56050,,,,Range ,16.5,,Range ,33.0,56050,,,
,SPA,7.9,,SPA,7.2,56050,,,,SPA,5.8,,SPA,5.8,56050,,,,SPA,5.0,,SPA,4.3,56050,,,,SPA,6.2,,SPA,5.0,56050,,,
,,,,Max Upgrade,,76500,,3,,,,,Max Upgrade,,104400,,3,,,,,Max Upgrade,,48700,,4,,,,,Max Upgrade,,55700,,4,
,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,,Sniper,,,,,56050,DPS Value,Sniper DPS,
,Damage,10823,,Damage,293792,56050,427,97930.8,,Damage,10050,,Damage,342961,56050,456,142900.5,,Damage,6902,,Damage,117350,56050,446,86926.22222,,Damage,11044,,Damage,124254,56050,354,78891.42857,
,Range ,27.5,,Range ,45.4,56050,,,,Range ,27.5,,Range ,48.1,56050,,,,Range ,23.4,,Range ,39.9,56050,,,,Range ,20.6,,Range ,41.3,56050,,,
,SPA,9.9,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,,Superior 3/Reaper,,,,,56050,DPS Value,Superior 3 DPS,
,Damage,12446,,Damage,337861,56050,491,112620.42,,Damage,11558,,Damage,394405,56050,525,164335.575,,Damage,7938,,Damage,134953,56050,513,99965.15556,,Damage,12700,,Damage,142892,56050,407,90725.14286,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,18.7,,Range ,31.9,56050,,,,Range ,16.5,,Range ,33.0,56050,,,
,SPA,9.9,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,,Superior 2,,,,,56050,DPS Value,Superior 2 DPS,
,Damage,12176,,Damage,330516,56050,480,110172.15,,Damage,11306,,Damage,385831,56050,513,160763.0625,,Damage,7765,,Damage,132019,56050,502,97792,,Damage,12424,,Damage,139786,56050,398,88752.85714,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,18.7,,Range ,31.9,56050,,,,Range ,16.5,,Range ,33.0,56050,,,
,SPA,9.9,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,,Superior 1,,,,,56050,DPS Value,Superior 1 DPS,
,Damage,11905,,Damage,323172,56050,469,107723.88,,Damage,11055,,Damage,377257,56050,502,157190.55,,Damage,7593,,Damage,129085,56050,491,95618.84444,,Damage,12148,,Damage,136679,56050,389,86780.57143,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,18.7,,Range ,31.9,56050,,,,Range ,16.5,,Range ,33.0,56050,,,
,SPA,9.9,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,,Nimble 3,,,,,56050,DPS Value,Nim3 DPS,
,Damage,10823,,Damage,293792,56050,488,111920.9143,,Damage,10050,,Damage,342961,56050,521,163314.8571,,Damage,6902,,Damage,117350,56050,510,99344.25397,,Damage,11044,,Damage,124254,56050,405,90161.63265,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,18.7,,Range ,31.9,56050,,,,Range ,16.5,,Range ,33.0,56050,,,
,SPA,8.7,,SPA,7.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,,SPA,5.5,,SPA,4.7,56050,,,,SPA,6.3,,SPA,5.5,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,,Nimble 2,,,,,56050,DPS Value,Nim2 DPS,
,Damage,10823,,Damage,293792,56050,461,105871.1351,,Damage,10050,,Damage,342961,56050,493,154487.027,,Damage,6902,,Damage,117350,56050,482,93974.29429,,Damage,11044,,Damage,124254,56050,383,85288.03089,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,18.7,,Range ,31.9,56050,,,,Range ,16.5,,Range ,33.0,56050,,,
,SPA,9.2,,SPA,8.3,56050,,,,SPA,6.7,,SPA,6.7,56050,,,,SPA,5.8,,SPA,5.0,56050,,,,SPA,6.7,,SPA,5.8,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,,Nimble 1,,,,,56050,DPS Value,Nim1 DPS,
,Damage,10823,,Damage,293792,56050,449,103085.0526,,Damage,10050,,Damage,342961,56050,480,150421.5789,,Damage,6902,,Damage,117350,56050,470,91501.28655,,Damage,11044,,Damage,124254,56050,373,83043.60902,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,38.5,56050,,,,Range ,18.7,,Range ,31.9,56050,,,,Range ,16.5,,Range ,33.0,56050,,,
,SPA,9.4,,SPA,8.6,56050,,,,SPA,6.8,,SPA,6.8,56050,,,,SPA,6.0,,SPA,5.1,56050,,,,SPA,6.8,,SPA,6.0,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,,Range 3,,,,,56050,DPS Value,Range 3 DPS,
,Damage,10823,,Damage,293792,56050,427,97930.8,,Damage,10050,,Damage,342961,56050,456,142900.5,,Damage,6902,,Damage,117350,56050,446,86926.22222,,Damage,11044,,Damage,124254,56050,354,78891.42857,
,Range ,25.3,,Range ,41.7,56050,,,,Range ,25.3,,Range ,44.3,56050,,,,Range ,21.5,,Range ,36.7,56050,,,,Range ,19.0,,Range ,38.0,56050,,,
,SPA,9.9,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,,Range 2,,,,,56050,DPS Value,Range 2 DPS,
,Damage,10823,,Damage,293792,56050,427,97930.8,,Damage,10050,,Damage,342961,56050,456,142900.5,,Damage,6902,,Damage,117350,56050,446,86926.22222,,Damage,11044,,Damage,124254,56050,354,78891.42857,
,Range ,24.8,,Range ,40.8,56050,,,,Range ,24.8,,Range ,43.3,56050,,,,Range ,21.0,,Range ,35.9,56050,,,,Range ,18.6,,Range ,37.1,56050,,,
,SPA,9.9,,SPA,9.0,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,6.3,56050,,,
,,,,,,76500,,3,,,,,,,104400,,3,,,,,,,48700,,4,,,,,,,55700,,4,
,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,,Range 1,,,,,56050,DPS Value,Range 1 DPS,
