v,Atsushi,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Dazai,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Chuya,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Akutagawa,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Izu,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,,,,Water,56100,¥,Cost /DPSx1000,4,,,,,Light,90050,¥,Cost /DPSx1000,3,,,,,Fire,50000,¥,Cost /DPSx1000,4,,,,,Dark,100100,¥,Cost /DPSx1000,3,,,,,Rose,83300,¥,Cost /DPSx1000,3,
,,,,Ground,AOE(Circle) 15 Radius,,1300¥ Deploy,,,,,,Ground,AOE Full,,1300¥ Deploy,,,,,,Hill,AOE(Circle) 13 Radius,,1200¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 10 Radius,,1300¥ Deploy,,
,Upgrade 0,,,Max Upgrade,,56100,,4,,Upgrade 0,,,Max Upgrade,,90050,,3,,Upgrade 0,,,Max Upgrade,,50000,,4,,Upgrade 0,,,Max Upgrade,,100100,,3,,Upgrade 0,,,Max Upgrade,,83300,,3,
,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,
,Damage,6903,,Damage,138060,56050,308,69030,,Damage,6574,,Damage,248508,56050,251,67774.90909,,Damage,4970,,Damage,186382,56050,414,82836.44444,,Damage,6494,,Damage,360799,56050,360,108239.7,,Damage,4832,,Damage,374200,56050,468,116937.5,
,Range ,19,,Range ,28,56050,,,,Range ,14,,Range ,25,56050,,,,Range ,20,,Range ,40,56050,,,,Range ,22,,Range ,35,56050,,,,Range ,24,,Range ,33,56050,,,
,SPA,7,,SPA,6,56050,,,,SPA,6,,SPA,11,56050,,,,SPA,7.5,,SPA,9,56050,,,,SPA,7,,SPA,10,56050,,,,SPA,6.5,,SPA,12,56050,,,
,,,,56050,,56100,,4,,,,,56050,,90050,,3,,,,,56050,,50000,,4,,,,,56050,,100100,,3,,,,,56050,,83300,,3,
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,
,Damage,8284,,Damage,165672,56050,684,153400,,Damage,7889,,Damage,298210,56050,335,90366.54545,,Damage,5964,,Damage,223658,56050,553,110571.4498,,Damage,7793,,Damage,432959,56050,481,144319.6,,Damage,5798,,Damage,449040,56050,624,155916.6667,
,Range ,20.9,,Range ,30.8,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,
,Damage,33134,,Damage,662688,56050,3038,170444,,Damage,31555,,Damage,1192838,56050,1487,133876,,Damage,23856,,Damage,894634,56050,2737,136846,,Damage,31171,,Damage,1731835,56050,2136,213807,,Damage,23194,,Damage,1796160,56050,2773,230988,
,Range ,23.0,,Range ,33.9,56050,,,,Range ,16.9,,Range ,30.3,56050,,,,Range ,24.2,,Range ,48.4,56050,,,,Range ,26.6,,Range ,42.4,56050,,,,Range ,29.0,,Range ,39.9,56050,,,
,SPA,5.7,,SPA,4.9,56050,,,,SPA,4.9,,SPA,8.9,56050,,,,SPA,6.1,,SPA,6.5,56050,,,,SPA,5.7,,SPA,8.1,56050,,,,SPA,5.3,,SPA,9.7,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,
,Damage,9940,,Damage,198806,56050,911,204533,,Damage,9467,,Damage,357852,56050,446,120489,,Damage,7157,,Damage,268390,56050,737,147429,,Damage,9351,,Damage,519551,56050,641,192426,,Damage,6958,,Damage,538848,56050,832,207888.8889,
,Range ,25.1,,Range ,37.0,56050,,,,Range ,18.5,,Range ,33.0,56050,,,,Range ,26.4,,Range ,52.8,56050,,,,Range ,29.0,,Range ,46.2,56050,,,,Range ,31.7,,Range ,43.6,56050,,,
,SPA,5.7,,SPA,4.9,56050,,,,SPA,4.9,,SPA,8.9,56050,,,,SPA,6.1,,SPA,7.3,56050,,,,SPA,5.7,,SPA,8.1,56050,,,,SPA,5.3,,SPA,9.7,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,
,Damage,9112,,Damage,182239,56050,722,161990.4,,Damage,8678,,Damage,328031,56050,442,119283.84,,Damage,6560,,Damage,246024,56050,730,145954.3137,,Damage,8572,,Damage,476255,56050,634,190501.872,,Damage,6378,,Damage,493944,56050,824,205810,
,Range ,20.9,,Range ,33.9,56050,,,,Range ,15.4,,Range ,30.3,56050,,,,Range ,22.0,,Range ,48.4,56050,,,,Range ,24.2,,Range ,42.4,56050,,,,Range ,26.4,,Range ,39.9,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,
,Damage,10769,,Damage,215374,56050,711,159536,,Damage,10255,,Damage,387672,56050,435,117476.5091,,Damage,7753,,Damage,290756,56050,719,143742.8847,,Damage,10131,,Damage,562846,56050,625,187615.48,,Damage,7538,,Damage,583752,56050,649,162153.3333,
,Range ,20.9,,Range ,30.8,56050,,,,Range ,15.4,,Range ,27.5,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,36.3,56050,,,
,SPA,6.3,,SPA,5.4,56050,,,,SPA,5.4,,SPA,9.9,56050,,,,SPA,6.8,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.9,,SPA,10.8,56050,,,
,,,,,,56100,,4,,,,,,,90050,,3,,,,,,,50000,,4,,,,,,,100100,,3,,,,,,,83300,,3,
,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,,Godspeed,,,,,56050,DPS Value,Godspeed DPS,
,Damage,8284,,Damage,165672,56050,684,153400,,Damage,7889,,Damage,298210,56050,418,112958.1818,,Damage,5964,,Damage,223658,56050,691,138214.3122,,Damage,7793,,Damage,432959,56050,601,180399.5,,Damage,5798,,Damage,449040,56050,624,155916.6667,
