v,Alucard,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Cid,,,True ,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Hidan,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Caesar,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Hinami,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,,,,Dark,118000,¥,Cost /DPSx1000,3,,,,,Dark,107800,¥,Cost /DPSx1000,3,,,,,Fire,83250,¥,Cost /DPSx1000,3,,,,,Water,50500,¥,Cost /DPSx1000,4,,,,,Air,56100,¥,Cost /DPSx1000,4,
,,,,Ground,AOE(Circle) 12 Radius,,2000¥ Deploy,,,,,,Hybrid,AOE FULL,,2300¥ Deploy,,,,,,Ground,AOE(Cone) 60° Angle,,1750¥ Deploy,,,,,,Ground,AOE(Circle) 13 Radius,,1500¥ Deploy,,,,,,Hybrid,AOE(Circle) 12 Radius,,1300¥ Deploy,,
,Upgrade 0,,,Max Upgrade,,118000,,3,,Upgrade 0,,,Max Upgrade,,107800,,3,,Upgrade 0,,,Max Upgrade,,83250,,3,,Upgrade 0,,,Max Upgrade,,50500,,4,,Upgrade 0,,,Max Upgrade,,56100,,4,
,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,
,Damage,12884,,Damage,386570,56050,364,128856.6667,,Damage,19328,,Damage,322142,56050,299,96642.6,,Damage,5153,,Damage,96642,56050,406,101474.1,,Damage,4348,,Damage,99402,56050,216,43601.33182,,Damage,8282,,Damage,165673,56050,422,94670.28571,
,Range ,20,,Range ,33,56050,,,,Range ,16,,Range ,35,56050,,,,Range ,19,,Range ,30,56050,,,,Range ,23,,Range ,30,56050,,,,Range ,20,,Range ,35,56050,,,
,SPA,9,,SPA,9,56050,,,,SPA,7,,SPA,10,56050,,,,SPA,6,,SPA,6.5,56050,,,,SPA,12,,SPA,11,56050,,,,SPA,7,,SPA,7,56050,,,
,,,,Health,386570,118000,,3,,,,,56050,,107800,,3,,,,,56050,,83250,,3,,,,,56050,,50500,,4,,,,,56050,,56100,,4,
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,
,Damage,15461,,Damage,463884,56050,485,171808.8889,,Damage,23194,,Damage,386570,56050,398,128856.8,,Damage,6184,,Damage,115970,56050,519,129500.28,,Damage,5218,,Damage,119282,56050,283,57141.08909,,Damage,9938,,Damage,198808,56050,563,126227.0476,
,Range ,22.0,,Range ,36.3,56050,,,,Range ,17.6,,Range ,38.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,25.3,,Range ,33.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,,
,SPA,8.1,,SPA,8.1,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,5.9,56050,,,,SPA,10.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,6.3,56050,,,
,,,,Health,463884,118000,,3,,,,,,,107800,,3,,,,,,,83250,,3,,,,,,,50500,,4,,,,,,,56100,,4,
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,
,Damage,61843,,Damage,1855536,56050,2157,254532,,Damage,92774,,Damage,1546282,56050,1771,190899,,Damage,24734,,Damage,463882,56050,2212,184120.9067,,Damage,20870,,Damage,477130,56050,1238,62496,,Damage,39754,,Damage,795230,56050,2500,140252,
,Range ,24.2,,Range ,39.9,56050,,,,Range ,19.4,,Range ,42.4,56050,,,,Range ,23.0,,Range ,36.3,56050,,,,Range ,27.8,,Range ,36.3,56050,,,,Range ,24.2,,Range ,42.4,56050,,,
