v,Gilgamesh ,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Saber,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Archer,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Illya,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Lancer,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Medea,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Bell,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Tsuna,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,,,,Light,118000,¥,Cost /DPSx1000,3,,,,,Light,74800,¥,Cost /DPSx1000,3,,,,,Fire,62550,¥,Cost /DPSx1000,4,,,,,Dark,98000,¥,Cost /DPSx1000,3,,,,,Storm,48700,¥,Cost /DPSx1000,4,,,,,Rose,44250,¥,Cost /DPSx1000,5,,,,,Storm,52000,¥,Cost /DPSx1000,4,,,,,Fire,66400,¥,Cost /DPSx1000,4,
,,,,Hybrid,AOE(Circle) 15 Radius,,2500¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1400¥ Deploy,,,,,,Hybrid,AOE(Circle) 11 Radius,,1350¥ Deploy,,,,,,Ground,AOE(Circle) 14 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 9 Radius,,1200¥ Deploy,,,,,,Hill,AOE(Circle) 9 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 7 Radius,,1250¥ Deploy,,,,,,Ground,AOE(Cone) 60° Angle,,1200¥ Deploy,,
,Upgrade 0,,,Max Upgrade,,118000,,3,,Upgrade 0,,,Max Upgrade,,74800,,3,,Upgrade 0,,,Max Upgrade,,62550,,4,,Upgrade 0,,,Max Upgrade,,98000,,3,,Upgrade 0,,,Max Upgrade,,48700,,4,,Upgrade 0,,,Max Upgrade,,44250,,5,,Upgrade 0,,,Max Upgrade,,52000,,4,,Upgrade 0,,,Max Upgrade,,66400,,4,
,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,
,Damage,6442,,Damage,450999,56050,319,112749.75,,Damage,8375,,Damage,382889,56050,512,114866.7,,Damage,7455,,Damage,186382,56050,426,106504,,Damage,6903,,Damage,345152,56050,391,115050.6667,,Damage,8375,,Damage,209392,56050,672,130870,,Damage,4970,,Damage,111829,56050,361,79877.85714,,Damage,6903,,Damage,138060,56050,332,69030,,Damage,3354,,Damage,74552,56050,262,69581.86667,
,Range ,23,,Range ,35,56050,,,,Range ,20,,Range ,40,56050,,,,Range ,21,,Range ,42,56050,,,,Range ,14,,Range ,25,56050,,,,Range ,17,,Range ,30,56050,,,,Range ,25,,Range ,45,56050,,,,Range ,19,,Range ,28,56050,,,,Range ,21,,Range ,32,56050,,,
,SPA,7,,SPA,12,56050,,,,SPA,7,,SPA,10,56050,,,,SPA,7,,SPA,7,56050,,,,SPA,6,,SPA,9,56050,,,,SPA,8,,SPA,8,56050,,,,SPA,7,,SPA,7,56050,,,,SPA,7,,SPA,8,56050,,,,SPA,7.5,,SPA,6,56050,,,
,,,,56050,,118000,,3,,,,,56050,,74800,,3,,,,,56050,,62550,,4,,,,,56050,,98000,,3,,,,,56050,,48700,,4,,,,,56050,,44250,,5,,,,,56050,,52000,,4,,,,,56050,,66400,,4,
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,
,Damage,7730,,Damage,541199,56050,425,150333,,Damage,10050,,Damage,459467,56050,683,153155.6,,Damage,8946,,Damage,223658,56050,568,142005,,Damage,8284,,Damage,414182,56050,522,153400.8889,,Damage,10050,,Damage,251270,56050,896,174493.3333,,Damage,5964,,Damage,134195,56050,481,106503.8095,,Damage,8284,,Damage,165672,56050,443,92040,,Damage,4025,,Damage,89462,56050,349,92775.82222,
