v,Sasuke(Mangekyo),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Naruto(Six Tails),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Jiriya(Sage),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Pain,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Konan,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v,Chiko,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,v
,,,,Storm,83850,¥,Cost /DPSx1000,3,,,,,Fire,100500,¥,Cost /DPSx1000,3,,,,,Water,71700,¥,Cost /DPSx1000,4,,,,,Light,89650,¥,Cost /DPSx1000,3,,,,,Air,41000,¥,Cost /DPSx1000,4,,,,,Air,51350,¥,Cost /DPSx1000,4,
,,,,Ground,AOE(Circle) 15 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 13 Radius,,2000¥ Deploy,,,,,,Ground,AOE(Cone) 60° Angle,,1500¥ Deploy,,,,,,Hybrid,AOE(Circle) Radius 19,,1300¥ Deploy,,,,,,Hill,AOE(Cone) 60° Angle,,1000¥ Deploy,,,,,,Hill,AOE(Circle) 10 Radius,,1750¥ Deploy,,
,Upgrade 0,,,Max Upgrade,,83850,,3,,Upgrade 0,,,Max Upgrade,,100500,,3,,Upgrade 0,,,Max Upgrade,,71700,,4,,Upgrade 0,,,Max Upgrade,,89650,,3,,Upgrade 0,,,Max Upgrade,,41000,,4,,Upgrade 0,,,Max Upgrade,,51350,,4,
,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,,Base Stats,,,,,56050,DPS Value,Base DPS,
,Damage,3221,,Damage,154628,56050,410,103085.3333,,Damage,9664,,Damage,317540,56050,451,136088.5714,,Damage,4786,,Damage,143583,56050,250,71791.5,,Damage,6212.74,,Damage,335488,56050,288,77420.30769,,Damage,7455,,Damage,124254,56050,505,82836,,Damage,3589,,Damage,119047,56050,290,59523.5,
,Range ,23,,Range ,37,56050,,,,Range ,17,,Range ,30,56050,,,,Range ,24,,Range ,33,56050,,,,Range ,20,,Range ,33,56050,,,,Range ,24,,Range ,40,56050,,,,Range ,30,,Range ,44,56050,,,
,SPA,7,,SPA,9,56050,,,,SPA,5,,SPA,7,56050,,,,SPA,8,,SPA,8,56050,,,,SPA,7,,SPA,13,56050,,,,SPA,7,,SPA,6,56050,,,,SPA,5,,SPA,8,56050,,,
,,,,56050,,83850,,3,,,,,56050,,100500,,3,,,,,56050,,71700,,4,,,,,56050,,89650,,3,,,,,56050,,41000,,4,,,,,56050,,51350,,4,
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,
,Damage,3865,,Damage,185554,56050,546,137447.1111,,Damage,11597,,Damage,381048,56050,602,181451.4286,,Damage,5743,,Damage,172300,56050,334,95722,,Damage,7455,,Damage,402586,56050,384,103227.0769,,Damage,8946,,Damage,149105,56050,673,110448,,Damage,4307,,Damage,142856,56050,386,79364.66667,
,Range ,25.3,,Range ,40.7,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,Range ,26.4,,Range ,44.0,56050,,,,Range ,33.0,,Range ,48.4,56050,,,
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,
,Damage,15461,,Damage,742214,56050,2428,203625.3498,,Damage,46387,,Damage,1524192,56050,2675,268816.9312,,Damage,22973,,Damage,689198,56050,1483,106357.7778,,Damage,29821,,Damage,1610342,56050,1706,152929.0028,,Damage,35784,,Damage,596419,56050,2993,122720,,Damage,17227,,Damage,571426,56050,1717,88182.96296,
,Range ,27.8,,Range ,44.8,56050,,,,Range ,20.6,,Range ,36.3,56050,,,,Range ,29.0,,Range ,39.9,56050,,,,Range ,24.2,,Range ,39.9,56050,,,,Range ,29.0,,Range ,48.4,56050,,,,Range ,36.3,,Range ,53.2,56050,,,
,SPA,5.7,,SPA,7.3,56050,,,,SPA,4.1,,SPA,5.7,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.7,,SPA,10.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,4.1,,SPA,6.5,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,
,Damage,4638,,Damage,222664,56050,729,183262.8148,,Damage,13916,,Damage,457258,56050,802,241935.2381,,Damage,6892,,Damage,206760,56050,445,127629.3333,,Damage,8946,,Damage,483103,56050,512,137636.1026,,Damage,10735,,Damage,178926,56050,898,147264,,Damage,5168,,Damage,171428,56050,515,105819.5556,
,Range ,30.4,,Range ,48.8,56050,,,,Range ,22.4,,Range ,39.6,56050,,,,Range ,31.7,,Range ,43.6,56050,,,,Range ,26.4,,Range ,43.6,56050,,,,Range ,31.7,,Range ,52.8,56050,,,,Range ,39.6,,Range ,58.1,56050,,,
,SPA,5.7,,SPA,7.3,56050,,,,SPA,4.1,,SPA,5.7,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.7,,SPA,10.5,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,4.1,,SPA,6.5,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,
,Damage,4252,,Damage,204109,56050,721,181430.1867,,Damage,12756,,Damage,419153,56050,794,239515.8857,,Damage,6318,,Damage,189530,56050,441,126353.04,,Damage,8201,,Damage,442844,56050,507,136259.7415,,Damage,9841,,Damage,164015,56050,889,145791.36,,Damage,4737,,Damage,157142,56050,510,104761.36,
,Range ,25.3,,Range ,44.8,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,26.4,,Range ,39.9,56050,,,,Range ,22.0,,Range ,39.9,56050,,,,Range ,26.4,,Range ,48.4,56050,,,,Range ,33.0,,Range ,53.2,56050,,,
,SPA,6.3,,SPA,8.1,56050,,,,SPA,4.5,,SPA,6.3,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,11.7,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,4.5,,SPA,7.2,56050,,,
,,,,,,83850,,3,,,,,,,100500,,3,,,,,,,71700,,4,,,,,,,89650,,3,,,,,,,41000,,4,,,,,,,51350,,4,
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,
,Damage,5025,,Damage,241220,56050,710,178681.2444,,Damage,15076,,Damage,495362,56050,782,235886.8571,,Damage,7466,,Damage,223989,56050,434,124438.6,,Damage,9692,,Damage,523361,56050,499,134195.2,,Damage,11630,,Damage,193836,56050,1847,302958.864,,Damage,5599,,Damage,185713,56050,1195,245554.2787,
,Range ,25.3,,Range ,40.7,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,26.4,,Range ,36.3,56050,,,,Range ,22.0,,Range ,36.3,56050,,,,Range ,26.4,,Range ,44.0,56050,,,,Range ,33.0,,Range ,48.4,56050,,,
