,Ariva,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Eto,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Tarata,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jouzo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Light,64300,¥,Cost /DPSx1000,4,,,,,Dark,82500,¥,Cost /DPSx1000,3,,,,,Water,60950,¥,Cost /DPSx1000,4,,,,,Rose,60500,¥,Cost /DPSx1000,4
,,,,Ground,AOE(Cone) 60° Angle,,1350¥ Deploy,,,,,,Ground,AOE(Cone) 60° Angle,,2500¥ Deploy,,,,,,Ground,AOE(Circle) 15 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Cone) 60° Angle,,1250¥ Deploy,
,Upgrade 0,,,Max Upgrade,,64300,,4,,Upgrade 0,,,Max Upgrade,,82500,,3,,Upgrade 0,,,Max Upgrade,,60950,,4,,Upgrade 0,,,Max Upgrade,,60500,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,956.76,,Damage,29527.55,,77,19685.03333,,Damage,1376.01,,Damage,30272.17,,37,9081.651,,Damage,607.47,,Damage,10124.47,,46,11271.90993,,Damage,448.7,,Damage,13460.95,,56,13460.95
,Range ,22,,Range ,40,,,,,Range ,21,,Range ,50,,,,,Range ,8,,Range ,27.5,,,,,Range ,15,,Range ,30,,,
,SPA,8,,SPA,6,,,,,SPA,8.5,,SPA,10,,,,,SPA,4,,SPA,6,,,,,SPA,7,,SPA,5,,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,1148,,Damage,35433,56050,102,26246.71111,,Damage,1651,,Damage,36327,56050,49,12108.868,,Damage,729,,Damage,12149,56050,62,15029.21324,,Damage,538,,Damage,16153,56050,74,17947.93333
,Range ,24.2,,Range ,44.0,56050,,,,Range ,23.1,,Range ,55.0,56050,,,,Range ,8.8,,Range ,30.3,56050,,,,Range ,16.5,,Range ,33.0,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,4592,,Damage,141732,56050,454,29163.01235,,Damage,6605,,Damage,145306,56050,217,17939.0637,,Damage,2916,,Damage,48597,56050,274,16699.12583,,Damage,2154,,Damage,64613,56050,330,19942.14815
,Range ,26.6,,Range ,48.4,56050,,,,Range ,25.4,,Range ,60.5,56050,,,,Range ,9.7,,Range ,33.3,56050,,,,Range ,18.2,,Range ,36.3,56050,,
,SPA,6.5,,SPA,4.9,56050,,,,SPA,6.9,,SPA,8.1,56050,,,,SPA,3.2,,SPA,4.9,56050,,,,SPA,5.7,,SPA,4.1,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,1378,,Damage,42520,56050,136,34995.61481,,Damage,1981,,Damage,43592,56050,65,16145.15733,,Damage,875,,Damage,14579,56050,82,20038.95099,,Damage,646,,Damage,19384,56050,99,23930.57778
,Range ,29.0,,Range ,52.8,56050,,,,Range ,27.7,,Range ,66.0,56050,,,,Range ,10.6,,Range ,36.3,56050,,,,Range ,19.8,,Range ,39.6,56050,,
,SPA,6.5,,SPA,4.9,56050,,,,SPA,6.9,,SPA,8.1,56050,,,,SPA,3.2,,SPA,4.9,56050,,,,SPA,5.7,,SPA,4.1,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,1263,,Damage,38976,56050,135,34645.65867,,Damage,1816,,Damage,39959,56050,65,15983.70576,,Damage,802,,Damage,13364,56050,81,19838.56148,,Damage,592,,Damage,17768,56050,98,23691.272
,Range ,24.2,,Range ,48.4,56050,,,,Range ,23.1,,Range ,60.5,56050,,,,Range ,8.8,,Range ,33.3,56050,,,,Range ,16.5,,Range ,36.3,56050,,
,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,,,SPA,3.6,,SPA,5.4,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,64300,,4,,,,,,,82500,,3,,,,,,,60950,,4,,,,,,,60500,,4
