,Aizen,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Ichigo(Hollow),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kisuke,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Starrk,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Ulquiorra,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Uryu,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Dark,59800,¥,Cost /DPSx1000,3,,,,,Dark,28300,¥,Cost /DPSx1000,4,,,,,Fire,60500,¥,Cost /DPSx1000,3,,,,,Water,98100,¥,Cost /DPSx1000,3,,,,,Air,62500,¥,Cost /DPSx1000,4,,,,,Light,49250,¥,Cost /DPSx1000,5
,,,,Ground,AOE(Circle) 10 Radius,,1400¥ Deploy,,,,,,Ground,AOE(Line) 8 Width,,850¥ Deploy,,,,,,Ground,AOE(Circle) 10 Radius,,1500¥ Deploy,,,,,,Ground,AOE(Line) 20 Width,,1600¥ Deploy,,,,,,Hybrid,AOE(Circle) 13.5 Radius,,1350¥ Deploy,,,,,,Hybrid,AOE(Circle) 7 Radius,,1250¥ Deploy,
,Upgrade 0,,,Max Upgrade,,59800,,3,,Upgrade 0,,,Max Upgrade,,28300,,4,,Upgrade 0,,,Max Upgrade,,60500,,3,,Upgrade 0,,,Max Upgrade,,98100,,3,,Upgrade 0,,,Max Upgrade,,62500,,4,,Upgrade 0,,,Max Upgrade,,49250,,5
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,1435.83,,Damage,23930.57,,62,11044.87846,,Damage,460.2,,Damage,5522.44,,39,4417.952,,Damage,1030.86,,Damage,23194.24,,64,11597.12,,Damage,1070.91,,Damage,45560.12,,36,10513.87385,,Damage,2010.16,,Damage,40203.36,,92,22973.34857,,Damage,1211.49,,Damage,14133.987,,102,25239.2625
,Range ,17,,Range ,22,,,,,Range ,19,,Range ,25,,,,,Range ,20,,Range ,30,,,,,Range ,30,,Range ,50,,,,,Range ,20,,Range ,40,,,,,Range ,20,,Range ,45,,,
,SPA,8,,SPA,6.5,,,,,SPA,6,,SPA,5,,,,,SPA,8,,SPA,6,,,,,SPA,8,,SPA,13,,,,,SPA,8,,SPA,7,,,,,SPA,6,,SPA,3.5,,,
,,,,,,59800,,3,,,,,,,28300,,4,,,,,,,60500,,3,,,,,,,98100,,3,,,,,,,62500,,4,,,,,,,49250,,6.25
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,1723,,Damage,28717,56050,82,14726.50462,,Damage,552,,Damage,6627,56050,52,5890.602667,,Damage,1237,,Damage,27833,56050,85,15462.82667,,Damage,1285,,Damage,54672,56050,48,14018.49846,,Damage,2412,,Damage,48244,56050,123,30631.13143,,Damage,1454,,Damage,16961,56050,137,42065.4375
,Range ,18.7,,Range ,24.2,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,Range ,33.0,,Range ,55.0,56050,,,,Range ,22.0,,Range ,44.0,56050,,,,Range ,22.0,,Range ,49.5,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,5.4,,SPA,4.5,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,7.2,,SPA,11.7,56050,,,,SPA,7.2,,SPA,6.3,56050,,,,SPA,5.4,,SPA,3.2,56050,,
,,,,,,59800,,3,,,,,,,28300,,4,,,,,,,60500,,3,,,,,,,98100,,3,,,,,,,62500,,4,,,,,,,49250,,5
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,6892,,Damage,114867,56050,365,21817.04387,,Damage,2209,,Damage,26508,56050,231,6545.114074,,Damage,4948,,Damage,111332,56050,379,22907.89136,,Damage,5140,,Damage,218689,56050,212,20768.14587,,Damage,9649,,Damage,192976,56050,545,34034.59048,,Damage,5815,,Damage,67843,56050,607,29913.2
,Range ,20.6,,Range ,26.6,56050,,,,Range ,23.0,,Range ,30.3,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,36.3,,Range ,60.5,56050,,,,Range ,24.2,,Range ,48.4,56050,,,,Range ,24.2,,Range ,54.5,56050,,
