,Gon,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Killua,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kite(Focus),,,,,,,,Kite(Frenzy),,,,,,,,Kite(Precision),,,,,,,,Kite(Lethal),,,,,,,,Meruem,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Netero,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Pitou,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Air,70250,¥,Cost /DPSx1000,3,,,,,Storm,63600,¥,Cost /DPSx1000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark,52050,¥,Cost /DPSx1000,4,,,,,Light,64400,¥,Cost /DPSx1000,3,,,,,Fire,57500,¥,Cost /DPSx1000,4
,,,,Hybrid,AOE Full,,1750¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,160¥ Deploy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hybrid,AOE(Circle) 12 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 16 Radius,,1350¥ Deploy,,,,,,Ground,AOE(Circle) 8 Radius,,1350¥ Deploy,
,Upgrade 0,,,Max Upgrade,,70250,,3,,Upgrade 0,,,Max Upgrade,,63600,,4,,Upgrade 0,,,Max Upgrade,,,,,Upgrade 0,,,Max Upgrade,,,,,Upgrade 0,,,Max Upgrade,,,,,Upgrade 0,,,Max Upgrade,,,,,Upgrade 0,,,Max Upgrade,,52050,,4,,Upgrade 0,,,Max Upgrade,,64400,,3,,Upgrade 0,,,Max Upgrade,,57500,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,,,Base Stats,,,,,,,,Base Stats,,,,,,,,Base Stats,,,,,,,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,6903.05,,Damage,124254,,71,14910.48,,Damage,1656.73,,Damage,17257.62,,68,17257.62,,Damage,2761.22,,Damage,24850.98,,,,Damage,2761.22,,Damage,24850.98,,,,Damage,2761.22,,Damage,24850.98,,,,Damage,3451.52,,Damage,31063.72,,,,Damage,1794.79,,Damage,21537.51,,83,17230.008,,Damage,1242.55,,Damage,47261.85,,73,14178.555,,Damage,2153.75,,Damage,25845.01,,124,28429.511
,Range ,12,,Range ,52,,,,,Range ,15,,Range ,25,,,,,Range ,27.5,,Range ,37.5,,,,Range ,22,,Range ,30,,,,Range ,22,,Range ,22,,,,Range ,22,,Range ,30,,,,Range ,15,,Range ,30,,,,,Range ,22,,Range ,35,,,,,Range ,12,,Range ,30,,,
,SPA,10,,SPA,25,,,,,SPA,7,,SPA,4,,,,,SPA,8,,SPA,8,,,,SPA,6,,SPA,6,,,,SPA,8,,SPA,8,,,,SPA,8,,SPA,8,,,,SPA,7,,SPA,5,,,,,SPA,8,,SPA,10,,,,,SPA,7,,SPA,5,,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,,,,SSS Stats,,,,,,,,SSS Stats,,,,,,,,SSS Stats,,,,,,,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,8284,,Damage,149105,56050,97,20495.50515,,Damage,1988,,Damage,20709,56050,90,23010.16,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,3313,,Damage,29821,,,,Damage,4142,,Damage,37276,,,,Damage,2154,,Damage,25845,56050,110,22973.344,,Damage,1491,,Damage,56714,56050,98,18904.74,,Damage,2585,,Damage,31014,56050,165,37906.01467
,Range ,13.2,,Range ,57.2,56050,,,,Range ,16.5,,Range ,27.5,56050,,,,Range ,30.3,,Range ,41.3,,,,Range ,24.2,,Range ,33.0,,,,Range ,24.2,,Range ,24.2,,,,Range ,24.2,,Range ,33.0,,,,Range ,16.5,,Range ,33.0,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,13.2,,Range ,33.0,56050,,
,SPA,9.0,,SPA,21.8,56050,,,,SPA,6.3,,SPA,3.6,56050,,,,SPA,7.2,,SPA,7.2,,,,SPA,5.4,,SPA,5.4,,,,SPA,7.2,,SPA,7.2,,,,SPA,7.2,,SPA,7.2,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,6.3,,SPA,4.5,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,,,,Unique,,,,,,,,Unique,,,,,,,,Unique,,,,,,,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,33135,,Damage,596419,56050,432,30363.71134,,Damage,7952,,Damage,82837,56050,402,25566.84444,,Damage,13254,,Damage,119285,,,,Damage,13254,,Damage,119285,,,,Damage,13254,,Damage,119285,,,,Damage,16567,,Damage,149106,,,,Damage,8615,,Damage,103380,56050,490,25525.93778,,Damage,5964,,Damage,226857,56050,435,28007.02222,,Damage,10338,,Damage,124056,56050,732,42117.79407
,Range ,14.5,,Range ,62.9,56050,,,,Range ,18.2,,Range ,30.3,56050,,,,Range ,33.3,,Range ,45.4,,,,Range ,26.6,,Range ,36.3,,,,Range ,26.6,,Range ,26.6,,,,Range ,26.6,,Range ,36.3,,,,Range ,18.2,,Range ,36.3,56050,,,,Range ,26.6,,Range ,42.4,56050,,,,Range ,14.5,,Range ,36.3,56050,,
,SPA,8.1,,SPA,19.6,56050,,,,SPA,5.7,,SPA,3.2,56050,,,,SPA,6.5,,SPA,6.5,,,,SPA,4.9,,SPA,4.9,,,,SPA,6.5,,SPA,6.5,,,,SPA,6.5,,SPA,6.5,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,6.5,,SPA,8.1,56050,,,,SPA,5.7,,SPA,4.1,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,,,,Divine,,,,,,,,Divine,,,,,,,,Divine,,,,,,,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,9940,,Damage,178926,56050,130,27327.34021,,Damage,2386,,Damage,24851,56050,121,30680.21333,,Damage,3976,,Damage,35785,,,,Damage,3976,,Damage,35785,,,,Damage,3976,,Damage,35785,,,,Damage,4970,,Damage,44732,,,,Damage,2584,,Damage,31014,56050,147,30631.12533,,Damage,1789,,Damage,68057,56050,130,25206.32,,Damage,3101,,Damage,37217,56050,220,50541.35289
,Range ,15.8,,Range ,68.6,56050,,,,Range ,19.8,,Range ,33.0,56050,,,,Range ,36.3,,Range ,49.5,,,,Range ,29.0,,Range ,39.6,,,,Range ,29.0,,Range ,29.0,,,,Range ,29.0,,Range ,39.6,,,,Range ,19.8,,Range ,39.6,56050,,,,Range ,29.0,,Range ,46.2,56050,,,,Range ,15.8,,Range ,39.6,56050,,
,SPA,8.1,,SPA,19.6,56050,,,,SPA,5.7,,SPA,3.2,56050,,,,SPA,6.5,,SPA,6.5,,,,SPA,4.9,,SPA,4.9,,,,SPA,6.5,,SPA,6.5,,,,SPA,6.5,,SPA,6.5,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,6.5,,SPA,8.1,56050,,,,SPA,5.7,,SPA,4.1,56050,,
,,,,,,70250,,3,,,,,,,63600,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52050,,4,,,,,,,64400,,3,,,,,,,57500,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,,,,Celestial,,,,,,,,Celestial,,,,,,,,Celestial,,,,,,,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
