,Erza(TrueHeart),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Erza(Lightning),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Erza(Valkyrie),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gildarts,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gray,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jellal,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Natsu,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Fire,63400,¥,Cost /DPSx1000,4,,,,,Storm,64500,¥,Cost /DPSx1000,4,,,,,Light,64250,¥,Cost /DPSx1000,4,,,,,Air,81050,¥,Cost /DPSx1000,4,,,,,Water,61150,¥,Cost /DPSx1000,4,,,,,Light,60025,¥,Cost /DPSx1000,4,,,,,Fire,56250,¥,Cost /DPSx1000,4
,,,,Ground,AOE(Circle) 10 Radius,,1350¥ Deploy,,,,,,Hill,AOE(Circle) 12 Radius,,1500¥ Deploy,,,,,,Ground,AOE(Circle) 15 Radius,,1400¥ Deploy,,,,,,Ground,AOE Full,,1500¥ Deploy,,,,,,Hybrid,AOE(Circle) 14 Radius,,1300¥ Deploy,,,,,,Hybrid,AOE(Circle) 12 Radius,,1375¥ Deploy,,,,,,Ground,AOE(Circle) 14 Radius,,1300¥ Deploy,
,Upgrade 0,,,Max Upgrade,,63400,,4,,Upgrade 0,,,Max Upgrade,,64500,,4,,Upgrade 0,,,Max Upgrade,,64250,,4,,Upgrade 0,,,Max Upgrade,,81050,,4,,Upgrade 0,,,Max Upgrade,,61150,,4,,Upgrade 0,,,Max Upgrade,,60025,,4,,Upgrade 0,,,Max Upgrade,,56250,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,1725.76,,Damage,34515.24,,113,28762.7,,Damage,1380.61,,Damage,44179.51,,98,25245.43429,,Damage,1495.66,,Damage,50852.46,,110,28251.36667,,Damage,1863,,Damage,49702,,61,19880.8,,Damage,2070.91,,Damage,37966.77,,52,12655.59,,Damage,1316.18,,Damage,50852,,94,22600.88889,,Damage,1242.55,,Damage,25472.25,,106,23774.1
,Range ,15.5,,Range ,26,,,,,Range ,25,,Range ,40,,,,,Range ,17,,Range ,33,,,,,Range ,16.5,,Range ,25,,,,,Range ,18,,Range ,35,,,,,Range ,20,,Range ,27.5,,,,,Range ,15,,Range ,25,,,
,SPA,8,,SPA,6,,,,,SPA,9,,SPA,7,,,,,SPA,7,,SPA,9,,,,,SPA,8.5,,SPA,10,,,,,SPA,12,,SPA,12,,,,,SPA,7,,SPA,9,,,,,SPA,7.5,,SPA,6,,,
,,,,,,63400,,4,,,,,,,64500,,4,,,,,,,64250,,4,,,,,,,81050,,4,,,,,,,61150,,4,,,,,,,60025,,4,,,,,,,56250,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,2071,,Damage,41418,56050,151,38350.26667,,Damage,1657,,Damage,53015,56050,130,33660.57905,,Damage,1795,,Damage,61023,56050,147,37668.48889,,Damage,2236,,Damage,59642,56050,82,26507.73333,,Damage,2485,,Damage,45560,56050,69,16874.12,,Damage,1579,,Damage,61022,56050,126,30134.51852,,Damage,1491,,Damage,30567,56050,141,31698.8
