,Brook,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Moria,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Perona,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,,,,,
,,,,Air,60100,¥,Cost /DPSx1000,3,,,,,Dark,64200,¥,Cost /DPSx1000,4,,,,,Rose,64800,¥,Cost /DPSx1000,5,,,,,,
,,,,Ground,AOE Full,,1600¥ Deploy,,,,,,Ground,AOE(Circle) 9.5 Radius,,1350¥ Deploy,,,,,,Hill,AOE(Circle) 9 Radius,,1300¥ Deploy,,,,,,,
,Upgrade 0,,,Max Upgrade,,60100,,3,,Upgrade 0,,,Max Upgrade,,64200,,4,,Upgrade 0,,,Max Upgrade,,64800,,5,,,,,,
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,,,,,
,Damage,8283.66,,Damage,89739.63,,115,20709.14538,,Damage,2485.1,,Damage,38657.07,,100,25771.38,,Damage,4026.78,,Damage,27612.2,,71,23010.16667,,,,,,27612.2
,Range ,11,,Range ,15,,,,,Range ,12,,Range ,27,,,,,Range ,20,,Range ,30,,,,,,,,,30
,SPA,9.5,,SPA,13,,,,,SPA,8,,SPA,6,,,,,SPA,7.5,,SPA,6,,,,,,,,,6
,,,,56050,,60100,,3,,,,,56050,,64200,,4,,,,,56050,,64800,,5,,,,,,
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,,,,,
,Damage,9940,,Damage,107688,56050,153,27612.19385,,Damage,2982,,Damage,46388,56050,134,34361.84,,Damage,4832,,Damage,33135,56050,95,30680.22222,,,,,,33135
,Range ,12.1,,Range ,16.5,56050,,,,Range ,13.2,,Range ,29.7,56050,,,,Range ,22.0,,Range ,33.0,56050,,,,,,,,33.0
,SPA,8.6,,SPA,11.7,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.8,,SPA,5.4,56050,,,,,,,,5.5
,,,,,,60100,,3,,,,,,,64200,,4,,,,,,,64800,,5,,,,,,
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,,,,,
,Damage,39762,,Damage,430750,56050,681,40906.95385,,Damage,11928,,Damage,185554,56050,595,38179.82222,,Damage,19329,,Damage,132539,56050,421,27271.30864,,,,,,
,Range ,13.3,,Range ,18.2,56050,,,,Range ,14.5,,Range ,32.7,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,,,,,
