,Geto,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Gojo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kent,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Megumi,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Sukuna,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yuta,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Dark,58000,¥,Cost /DPSx1000,4,,,,,Water,60600,¥,Cost /DPSx1000,3,,,,,Water,61950,¥,Cost /DPSx1000,4,,,,,Dark,61850,¥,Cost /DPSx1000,4,,,,,Fire,62500,¥,Cost /DPSx1000,3,,,,,Rose,109300,¥,Cost /DPSx1000,3
,,,,Hybrid,AOE(Circle) 12 Radius,,1500¥ Deploy,,,,,,Ground,AOE(Line) 12 Width,,1600¥ Deploy,,,,,,Ground,AOE(Cone) 60° Angle,,1250¥ Deploy,,,,,,Ground,AOE(Circle) 11 Radius,,1400¥ Deploy,,,,,,Ground,AOE(Circle) 14 Radius,,1500¥ Deploy,,,,,,Ground,AOE(Line) 15 Width,,1400¥ Deploy,
,Upgrade 0,,,Max Upgrade,,58000,,4,,Upgrade 0,,,Max Upgrade,,60600,,3,,Upgrade 0,,,Max Upgrade,,61950,,4,,Upgrade 0,,,Max Upgrade,,61850,,4,,Upgrade 0,,,Max Upgrade,,62500,,3,,Upgrade 0,,,Max Upgrade,,109300,,3
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,1932.85,,Damage,48965.63,,113,26115.00267,,Damage,3451.52,,Damage,48321.34,,133,24160.67,,Damage,1325.39,,Damage,27612.2,,93,23010.16667,,Damage,1877.63,,Damage,38657.07,,78,19328.535,,Damage,2760.95,,Damage,89739,,144,26921.7,,Damage,2070.91,,Damage,189845.0875,,96,31640.84792
,Range ,20,,Range ,30,,,,,Range ,12,,Range ,40,,,,,Range ,17,,Range ,30,,,,,Range ,16,,Range ,23,,,,,Range ,18,,Range ,34,,,,,Range ,17,,Range ,55,,,
,SPA,6.5,,SPA,7.5,,,,,SPA,8,,SPA,6,,,,,SPA,7,,SPA,6,,,,,SPA,8,,SPA,8,,,,,SPA,7,,SPA,10,,,,,SPA,6,,SPA,18,,,
,,,,56050,,58000,,4,,,,,56050,,60600,,3,,,,,56050,,61950,,4,,,,,56050,,61850,,4,,,,,56050,,62500,,3,,,,,56050,,109300,,3
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,2319,,Damage,58759,56050,150,34820.00356,,Damage,4142,,Damage,57986,56050,177,32214.22667,,Damage,1590,,Damage,33135,56050,124,30680.22222,,Damage,2253,,Damage,46388,56050,104,25771.38,,Damage,3313,,Damage,107687,56050,191,35895.6,,Damage,2485,,Damage,227814,56050,129,42187.79722
,Range ,22.0,,Range ,33.0,56050,,,,Range ,13.2,,Range ,44.0,56050,,,,Range ,18.7,,Range ,33.0,56050,,,,Range ,17.6,,Range ,25.3,56050,,,,Range ,19.8,,Range ,37.4,56050,,,,Range ,18.7,,Range ,60.5,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,9278,,Damage,235035,56050,667,38688.89284,,Damage,16567,,Damage,231942,56050,788,47724.78025,,Damage,6362,,Damage,132539,56050,550,34089.1358,,Damage,9013,,Damage,185554,56050,463,28634.86667,,Damage,13253,,Damage,430747,56050,851,53178.66667,,Damage,9940,,Damage,911256,56050,572,62500.44033
,Range ,24.2,,Range ,36.3,56050,,,,Range ,14.5,,Range ,48.4,56050,,,,Range ,20.6,,Range ,36.3,56050,,,,Range ,19.4,,Range ,27.8,56050,,,,Range ,21.8,,Range ,41.1,56050,,,,Range ,20.6,,Range ,66.6,56050,,
,SPA,5.3,,SPA,6.1,56050,,,,SPA,6.5,,SPA,4.9,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.7,,SPA,8.1,56050,,,,SPA,4.9,,SPA,14.6,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,2783,,Damage,70511,56050,200,46426.67141,,Damage,4970,,Damage,69583,56050,236,42952.30222,,Damage,1909,,Damage,39762,56050,165,40906.96296,,Damage,2704,,Damage,55666,56050,139,34361.84,,Damage,3976,,Damage,129224,56050,255,47860.8,,Damage,2982,,Damage,273377,56050,172,56250.3963
,Range ,26.4,,Range ,39.6,56050,,,,Range ,15.8,,Range ,52.8,56050,,,,Range ,22.4,,Range ,39.6,56050,,,,Range ,21.1,,Range ,30.4,56050,,,,Range ,23.8,,Range ,44.9,56050,,,,Range ,22.4,,Range ,72.6,56050,,
,SPA,5.3,,SPA,6.1,56050,,,,SPA,6.5,,SPA,4.9,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,6.5,,SPA,6.5,56050,,,,SPA,5.7,,SPA,8.1,56050,,,,SPA,4.9,,SPA,14.6,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,2551,,Damage,64635,56050,198,45962.40469,,Damage,4556,,Damage,63784,56050,234,42522.7792,,Damage,1750,,Damage,36448,56050,163,40497.89333,,Damage,2478,,Damage,51027,56050,138,34018.2216,,Damage,3644,,Damage,118455,56050,253,47382.192,,Damage,2734,,Damage,250596,56050,170,55687.89233
,Range ,22.0,,Range ,36.3,56050,,,,Range ,13.2,,Range ,48.4,56050,,,,Range ,18.7,,Range ,36.3,56050,,,,Range ,17.6,,Range ,27.8,56050,,,,Range ,19.8,,Range ,41.1,56050,,,,Range ,18.7,,Range ,66.6,56050,,
,SPA,5.9,,SPA,6.8,56050,,,,SPA,7.2,,SPA,5.4,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,7.2,,SPA,7.2,56050,,,,SPA,6.3,,SPA,9.0,56050,,,,SPA,5.4,,SPA,16.2,56050,,
,,,,,,58000,,4,,,,,,,60600,,3,,,,,,,61950,,4,,,,,,,61850,,4,,,,,,,62500,,3,,,,,,,109300,,3
