,Aizen(Final),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Aizen(Fusion),,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Ging,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Ichigo(Dusk),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kenpachi,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Soi Fan,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yamamoto,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Dark,134800,¥,Cost /DPSx1000,3,,,,,Dark,104800,¥,Cost /DPSx1000,3,,,,,Storm,56100,¥,Cost /DPSx1000,4,,,,,Dark,60600,¥,Cost /DPSx1000,4,,,,,Light,58550,¥,Cost /DPSx1000,3,,,,,Air,50700,¥,Cost /DPSx1000,5,,,,,Fire,126950,¥,Cost /DPSx1000,3
,,,,Hybrid,Full AOE ,,1400¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1400¥ Deploy,,,,,,Ground,AOE(Line) 12 Width,,1350¥ Deploy,,,,,,Hybrid,AOE(Line) 12 Width,,1350¥ Deploy,,,,,,Ground,Full AOE,,1300¥ Deploy,,,,,,Hill,AOE(Circle) 11 Radius,,1300¥ Deploy,,,,,,Ground,Full AOE,,1750¥ Deploy,
,Upgrade 0,,,Max Upgrade,,134800,,3,,Upgrade 0,,,Max Upgrade,,104800,,3,,Upgrade 0,,,Max Upgrade,,56100,,4,,Upgrade 0,,,Max Upgrade,,60600,,4,,Upgrade 0,,,Max Upgrade,,58550,,3,,Upgrade 0,,,Max Upgrade,,50700,,5,,Upgrade 0,,,Max Upgrade,,126950,,3
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,4141.83,,Damage,220897.56,,109,44179.512,,Damage,2761.22,,Damage,82836.59,,122,38232.27231,,Damage,2416.7,,Damage,28578.62,,116,25980.56364,,Damage,3865.71,,Damage,45099.2,,114,27753.35385,,Damage,3221.42,,Damage,77314.15,,120,21085.67727,,Damage,2393.06,,Damage,35895.35,,118,29912.79167,,Damage,3451.52,,Damage,96642.68,,76,28992.804
,Range ,20,,Range ,30,,,,,Range ,20,,Range ,29,,,,,Range ,20,,Range ,45,,,,,Range ,17,,Range ,45,,,,,Range ,17.5,,Range ,25,,,,,Range ,21,,Range ,40,,,,,Range ,20,,Range ,35,,,
,SPA,8,,SPA,15,,,,,SPA,8,,SPA,6.5,,,,,SPA,7,,SPA,5.5,,,,,SPA,6.5,,SPA,6.5,,,,,SPA,7.5,,SPA,11,,,,,SPA,7,,SPA,6,,,,,SPA,7,,SPA,13,,,
,,,,56050,,134800,,3,,,,,56050,,104800,,3,,,,,56050,,56100,,4,,,,,56050,,60600,,4,,,,,56050,,58550,,3,,,,,56050,,50700,,5,,,,,56050,,126950,,3
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,4970,,Damage,265077,56050,145,58515.90993,,Damage,3313,,Damage,99404,56050,162,50976.36308,,Damage,2900,,Damage,34294,56050,154,34640.75152,,Damage,4639,,Damage,54119,56050,153,37004.47179,,Damage,3866,,Damage,92777,56050,160,28114.23636,,Damage,2872,,Damage,43074,56050,157,39883.72222,,Damage,4142,,Damage,115971,56050,102,38657.072
,Range ,22.0,,Range ,33.0,56050,,,,Range ,22.0,,Range ,31.9,56050,,,,Range ,22.0,,Range ,49.5,56050,,,,Range ,18.7,,Range ,49.5,56050,,,,Range ,19.3,,Range ,27.5,56050,,,,Range ,23.1,,Range ,44.0,56050,,,,Range ,22.0,,Range ,38.5,56050,,
,SPA,7.2,,SPA,13.6,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,5.0,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,6.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,11.7,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,19881,,Damage,1060308,56050,643,86690.23694,,Damage,13254,,Damage,397616,56050,721,75520.53789,,Damage,11600,,Damage,137177,56050,686,38489.72391,,Damage,18555,,Damage,216476,56050,678,41116.07977,,Damage,15463,,Damage,371108,56050,711,41650.72054,,Damage,11487,,Damage,172298,56050,699,35452.19753,,Damage,16567,,Damage,463885,56050,451,57269.7363
,Range ,24.2,,Range ,36.3,56050,,,,Range ,24.2,,Range ,35.1,56050,,,,Range ,24.2,,Range ,54.5,56050,,,,Range ,20.6,,Range ,54.5,56050,,,,Range ,21.2,,Range ,30.3,56050,,,,Range ,25.4,,Range ,48.4,56050,,,,Range ,24.2,,Range ,42.4,56050,,
,SPA,6.5,,SPA,12.2,56050,,,,SPA,6.5,,SPA,5.3,56050,,,,SPA,5.7,,SPA,4.5,56050,,,,SPA,5.3,,SPA,5.3,56050,,,,SPA,6.1,,SPA,8.9,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,5.7,,SPA,10.5,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,5964,,Damage,318092,56050,193,78021.21325,,Damage,3976,,Damage,119285,56050,216,67968.4841,,Damage,3480,,Damage,41153,56050,206,46187.66869,,Damage,5567,,Damage,64943,56050,204,49339.29573,,Damage,4639,,Damage,111332,56050,213,37485.64848,,Damage,3446,,Damage,51689,56050,210,53178.2963,,Damage,4970,,Damage,139165,56050,135,51542.76267
,Range ,26.4,,Range ,39.6,56050,,,,Range ,26.4,,Range ,38.3,56050,,,,Range ,26.4,,Range ,59.4,56050,,,,Range ,22.4,,Range ,59.4,56050,,,,Range ,23.1,,Range ,33.0,56050,,,,Range ,27.7,,Range ,52.8,56050,,,,Range ,26.4,,Range ,46.2,56050,,
,SPA,6.5,,SPA,12.2,56050,,,,SPA,6.5,,SPA,5.3,56050,,,,SPA,5.7,,SPA,4.5,56050,,,,SPA,5.3,,SPA,5.3,56050,,,,SPA,6.1,,SPA,8.9,56050,,,,SPA,5.7,,SPA,4.9,56050,,,,SPA,5.7,,SPA,10.5,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,5467,,Damage,291585,56050,191,77241.00111,,Damage,3645,,Damage,109344,56050,214,67288.79926,,Damage,3190,,Damage,37724,56050,204,45725.792,,Damage,5103,,Damage,59531,56050,202,48845.90277,,Damage,4252,,Damage,102055,56050,211,37110.792,,Damage,3159,,Damage,47382,56050,208,52646.51333,,Damage,4556,,Damage,127568,56050,134,51027.33504
,Range ,22.0,,Range ,36.3,56050,,,,Range ,22.0,,Range ,35.1,56050,,,,Range ,22.0,,Range ,54.5,56050,,,,Range ,18.7,,Range ,54.5,56050,,,,Range ,19.3,,Range ,30.3,56050,,,,Range ,23.1,,Range ,48.4,56050,,,,Range ,22.0,,Range ,42.4,56050,,
,SPA,7.2,,SPA,13.6,56050,,,,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,5.0,56050,,,,SPA,5.9,,SPA,5.9,56050,,,,SPA,6.8,,SPA,9.9,56050,,,,SPA,6.3,,SPA,5.4,56050,,,,SPA,6.3,,SPA,11.7,56050,,
,,,,,,134800,,3,,,,,,,104800,,3,,,,,,,56100,,4,,,,,,,60600,,4,,,,,,,58550,,3,,,,,,,50700,,5,,,,,,,126950,,3
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,6461,,Damage,344600,56050,188,76070.68291,,Damage,4308,,Damage,129225,56050,211,66269.272,,Damage,3770,,Damage,44583,56050,201,45032.97697,,Damage,6031,,Damage,70355,56050,198,48105.81333,,Damage,5025,,Damage,120610,56050,208,36548.50727,,Damage,3733,,Damage,55997,56050,205,51848.83889,,Damage,5384,,Damage,150763,56050,132,50254.1936
