,Asta,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Julius,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Luck,,,,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Noelle,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yami,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Yuno,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Dark,59100,¥,Cost /DPSx1000,4,,,,,Light,151500,¥,Cost /DPSx1000,1,,,,,,,,Storm,63900,¥,Cost /DPSx1000,4,,,,,Water,51650,¥,Cost /DPSx1000,5,,,,,Dark,60950,¥,Cost /DPSx1000,4,,,,,Air,60200,¥,Cost /DPSx1000,4
,,,,Ground,AOE(Cone) 60° Angle,,1600¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,10000¥ Deploy,,,,,,,,,Ground,AOE(Line) 7 Width,,1600¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1350¥ Deploy,,,,,,Ground,AOE(Line) 4 Width,,1200¥ Deploy,,,,,,Hill,AOE(Circle) 12 Radius,,1500¥ Deploy,
,Upgrade 0,,,Max Upgrade,,59100,,4,,Upgrade 0,,,Max Upgrade,,151500,,1,,Upgrade 0,,,Max Upgrade,,,Max Upgrade Battlelusted,,63900,,4,,Upgrade 0,,,Max Upgrade,,51650,,5,,Upgrade 0,,,True ,Max Upgrade,60950,,4,,Upgrade 0,,,Max Upgrade,,60200,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,4486.98,,Damage,62817.74,,152,35895.85143,,Damage,22089.76,,Damage,176718.048,,159,24053.28987,,Damage,1794.79,,Damage,41878.5,,Damage,52348,,137,34898.75,,Damage,2939.06,,Damage,41878.5,,101,26174.0625,,Damage,6958.28,,Damage,55666.184,,152,37110.78933,,Damage,2393.06,,Damage,62817.74,,104,25127.096
,Range ,15,,Range ,26,,,,,Range ,21,,Range ,25,,,,,Range ,24,,Range ,40,,Range ,40,,,,,Range ,22,,Range ,30,,,,,Range ,10,,Range ,50,,,,,Range ,22,,Range ,32,,,
,SPA,6.5,,SPA,7,,,,,SPA,7,,SPA,8,,,,,SPA,7.5,,SPA,6,,SPA,6,,,,,SPA,7.5,,SPA,8,,,,,SPA,5,,SPA,6,,,,,SPA,8.5,,SPA,10,,,
,,,,56050,,59100,,4,,,,,56050,,151500,,1,,,,,,,,,,63900,,4,,,,,56050,,51650,,5,,,,,56050,,60950,,4,,,,,56050,,60200,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,5384,,Damage,75381,56050,202,47861.13524,,Damage,26508,,Damage,212062,56050,210,31809.24864,,Damage,2154,,Damage,50254,,Damage,62818,56050,182,46531.66667,,Damage,3527,,Damage,50254,56050,135,34898.75,,Damage,8350,,Damage,66799,56050,203,49481.05244,,Damage,2872,,Damage,75381,56050,139,33502.79467
,Range ,16.5,,Range ,28.6,56050,,,,Range ,23.1,,Range ,27.5,56050,,,,Range ,26.4,,Range ,44.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,33.0,56050,,,,Range ,11.0,,Range ,55.0,56050,,,,Range ,24.2,,Range ,35.2,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,21538,,Damage,301525,56050,900,53179.03915,,Damage,106031,,Damage,848247,56050,926,140327.2203,,Damage,8615,,Damage,201017,,Damage,251271,56050,809,51701.85185,,Damage,14107,,Damage,201017,56050,601,31021.11111,,Damage,33400,,Damage,267198,56050,902,54978.94716,,Damage,11487,,Damage,301525,56050,618,37225.32741
,Range ,18.2,,Range ,31.5,56050,,,,Range ,25.4,,Range ,30.3,56050,,,,Range ,29.0,,Range ,48.4,,Range ,48.4,56050,,,,Range ,26.6,,Range ,36.3,56050,,,,Range ,12.1,,Range ,60.5,56050,,,,Range ,26.6,,Range ,38.7,56050,,
,SPA,5.3,,SPA,5.7,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,6.1,,SPA,4.9,,SPA,4.9,56050,,,,SPA,6.1,,SPA,6.5,56050,,,,SPA,4.1,,SPA,4.9,56050,,,,SPA,6.9,,SPA,8.1,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,6461,,Damage,90458,56050,270,63814.84698,,Damage,31809,,Damage,254474,56050,278,42098.1661,,Damage,2584,,Damage,60305,,Damage,75381,56050,243,62042.22222,,Damage,4232,,Damage,60305,56050,180,46531.66667,,Damage,10020,,Damage,80159,56050,271,65974.73659,,Damage,3446,,Damage,90458,56050,186,44670.39289
,Range ,19.8,,Range ,34.3,56050,,,,Range ,27.7,,Range ,33.0,56050,,,,Range ,31.7,,Range ,52.8,,Range ,52.8,56050,,,,Range ,29.0,,Range ,39.6,56050,,,,Range ,13.2,,Range ,66.0,56050,,,,Range ,29.0,,Range ,42.2,56050,,
,SPA,5.3,,SPA,5.7,56050,,,,SPA,5.7,,SPA,6.5,56050,,,,SPA,6.1,,SPA,4.9,,SPA,4.9,56050,,,,SPA,6.1,,SPA,6.5,56050,,,,SPA,4.1,,SPA,4.9,56050,,,,SPA,6.9,,SPA,8.1,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,5923,,Damage,82919,56050,267,63176.69851,,Damage,29158,,Damage,233268,56050,231,34990.1735,,Damage,2369,,Damage,55280,,Damage,69100,56050,240,61421.8,,Damage,3880,,Damage,55280,56050,178,46066.35,,Damage,9185,,Damage,73479,56050,268,65314.98923,,Damage,3159,,Damage,82919,56050,184,44223.68896
,Range ,16.5,,Range ,31.5,56050,,,,Range ,23.1,,Range ,30.3,56050,,,,Range ,26.4,,Range ,48.4,,Range ,48.4,56050,,,,Range ,24.2,,Range ,36.3,56050,,,,Range ,11.0,,Range ,60.5,56050,,,,Range ,24.2,,Range ,38.7,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
,,,,,,59100,,4,,,,,,,151500,,1,,,,,,,,,,63900,,4,,,,,,,51650,,5,,,,,,,60950,,4,,,,,,,60200,,4
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,7000,,Damage,97996,56050,263,62219.47581,,Damage,34460,,Damage,275680,56050,273,41352.02323,,Damage,2800,,Damage,65330,,Damage,81663,56050,237,60491.16667,,Damage,4585,,Damage,65330,56050,176,45368.375,,Damage,10855,,Damage,86839,56050,264,64325.36818,,Damage,3733,,Damage,97996,56050,181,43553.63307
,Range ,16.5,,Range ,28.6,56050,,,,Range ,23.1,,Range ,27.5,56050,,,,Range ,26.4,,Range ,44.0,,Range ,44.0,56050,,,,Range ,24.2,,Range ,33.0,56050,,,,Range ,11.0,,Range ,55.0,56050,,,,Range ,24.2,,Range ,35.2,56050,,
,SPA,5.9,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.2,56050,,,,SPA,6.8,,SPA,5.4,,SPA,5.4,56050,,,,SPA,6.8,,SPA,7.2,56050,,,,SPA,4.5,,SPA,5.4,56050,,,,SPA,7.7,,SPA,9.0,56050,,
