,Akoji,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,DIO,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Esdeath,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Haku,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Todoroki,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Toshiro,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Water,60500,¥,Cost /DPSx1000,4,,,,,Light,125500,¥,Cost /DPSx1000,1,,,,,Storm,73000,¥,Cost /DPSx1000,3,,,,,Storm,60550,¥,Cost /DPSx1000,4,,,,,Storm,61050,¥,Cost /DPSx1000,4,,,,,Storm,76100,¥,Cost /DPSx1000,4
,,,,Ground,Full AOE,,1500 ¥ Deploy,,,,,,Hybrid,AOE(Circle) 15 Radius,,10000¥ Deploy,,,,,,Ground,Full AOE,,1600¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1400¥ Deploy,,,,,,Ground,AOE(Circle) 12.5 Radius,,1300¥ Deploy,,,,,,Hybrid,AOE(Circle) 8 Radius,,1600 ¥ Deploy,
,Upgrade 0,,,Max Upgrade,,60500,,4,,Upgrade 0,,,Max Upgrade,,125500,,1,,Upgrade 0,,,Max Upgrade,,73000,,3,,Upgrade 0,,,Max Upgrade,,60550,,4,,Upgrade 0,,,Fire,Max Upgrade,61050,,4,,Upgrade 0,,,Max Upgrade,,76100,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,5522.44,,Damage,89739.63,,99,23930.568,,Damage,23010,,Damage,211693.5,,260,32568.23077,,Damage,4786.11,,Damage,200418.52,,137,30062.778,,Damage,4851.1,,Damage,54050.87,,128,30886.21143,,Damage,1932.85,,Damage,49287.77,,101,24643.885,,Damage,3221.42,,Damage,34515.24,,94,28762.7
,Range ,20,,Range ,27,,,,,Range ,23,,Range ,35,,,,,Range ,22,,Range ,32,,,,,Range ,20,,Range ,31,,,,,Range ,19,,Range ,30,,,,,Range ,21,,Range ,38,,,
,SPA,15,,SPA,15,,,,,SPA,6.5,,SPA,6.5,,,,,SPA,8,,SPA,20,,,,,SPA,7,,SPA,7,,,,,SPA,7,,SPA,8,,,,,SPA,7,,SPA,6,,,
,,,,56050,,60500,,4,,,,,56050,,125500,,1,,,,,56050,,73000,,3,,,,,56050,,60550,,4,,,,,56050,,61050,,4,,,,,56050,,76100,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,6627,,Damage,107688,56050,132,31907.424,,Damage,27612,,Damage,254032,56050,346,43424.30769,,Damage,5743,,Damage,240502,56050,183,40083.704,,Damage,5821,,Damage,64861,56050,170,41181.61524,,Damage,2319,,Damage,59145,56050,135,32858.51333,,Damage,3866,,Damage,41418,56050,126,38350.26667
