,Ghiaccio,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Hermes Castello,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jolyne Kujo,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Jotaro Kujo,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Pucci,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Weather Report,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Rose,55550,¥,Cost /DPSx1000,4,,,,,Rose,55000,¥,Cost /DPSx1000,5,,,,,Storm,64500,¥,Cost /DPSx1000,4,,,,,Dark,63000,¥,Cost /DPSx1000,3,,,,,Light,94821,¥,Cost /DPSx1000,3,,,,,Storm,68700,¥,Cost /DPSx1000,4
,,,,Ground,AOE(Circle) 11 Radius,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 12 Radius,,1250¥ Deploy,,,,,,Ground,AOE(Circle) 9 Radius,,1600¥ Deploy,,,,,,Ground,AOE(Circle) 13 Radius,,1600¥ Deploy,,,,,,Ground,AOE(Circle) 15 Radius,,1753¥ Deploy,,,,,,Hill,AOE(Circle) 18 Radius,,1400¥ Deploy,
,Upgrade 0,,,Max Upgrade,,55550,,4,,Upgrade 0,,,Max Upgrade,,55000,,5,,Upgrade 0,,,Max Upgrade,,64500,,4,,Upgrade 0,,,Max Upgrade,,63000,,3,,Upgrade 0,,,Max Upgrade,,94821,,3,,Upgrade 0,,,Max Upgrade,,68700,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,2991.32,,Damage,50254.2,,139,30925.66154,,Damage,2876.27,,Damage,31638.97,,115,31638.97,,Damage,3440.02,,Damage,95262,,148,38104.8,,Damage,3451.52,,Damage,193285.37,,205,38657.074,,Damage,1840.81,,Damage,46020.33,,139,39445.99714,,Damage,2255,,Damage,42522.78,,103,28348.52
,Range ,20,,Range ,32,,,,,Range ,16,,Range ,25,,,,,Range ,23,,Range ,29,,,,,Range ,14,,Range ,23,,,,,Range ,22,,Range ,35,,,,,Range ,24,,Range ,35,,,
,SPA,8,,SPA,6.5,,,,,SPA,7,,SPA,5,,,,,SPA,8,,SPA,10,,,,,SPA,5,,SPA,15,,,,,SPA,5,,SPA,3.5,,,,,SPA,6,,SPA,6,,,
,,,,56050,,55550,,4,,,,,56050,,55000,,5,,,,,56050,,64500,,4,,,,,56050,,63000,,3,,,,,56050,,94821,,3,,,,,56050,,68700,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,3590,,Damage,60305,56050,186,41234.21538,,Damage,3452,,Damage,37967,56050,153,42185.29333,,Damage,4128,,Damage,114314,56050,197,50806.4,,Damage,4142,,Damage,231942,56050,273,51542.76533,,Damage,2209,,Damage,55224,56050,185,52594.66286,,Damage,2706,,Damage,51027,56050,138,37798.02667
,Range ,22.0,,Range ,35.2,56050,,,,Range ,17.6,,Range ,27.5,56050,,,,Range ,25.3,,Range ,31.9,56050,,,,Range ,15.4,,Range ,25.3,56050,,,,Range ,24.2,,Range ,38.5,56050,,,,Range ,26.4,,Range ,38.5,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,14358,,Damage,241220,56050,825,45815.79487,,Damage,13806,,Damage,151867,56050,682,37498.03852,,Damage,16512,,Damage,457258,56050,875,56451.55556,,Damage,16567,,Damage,927770,56050,1212,76359.65235,,Damage,8836,,Damage,220898,56050,822,77918.01905,,Damage,10824,,Damage,204109,56050,611,41997.80741
,Range ,24.2,,Range ,38.7,56050,,,,Range ,19.4,,Range ,30.3,56050,,,,Range ,27.8,,Range ,35.1,56050,,,,Range ,16.9,,Range ,27.8,56050,,,,Range ,26.6,,Range ,42.4,56050,,,,Range ,29.0,,Range ,42.4,56050,,
,SPA,6.5,,SPA,5.3,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,6.5,,SPA,8.1,56050,,,,SPA,4.1,,SPA,12.2,56050,,,,SPA,4.1,,SPA,2.8,56050,,,,SPA,4.9,,SPA,4.9,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,4308,,Damage,72366,56050,247,54978.95385,,Damage,4142,,Damage,45560,56050,205,56247.05778,,Damage,4954,,Damage,137177,56050,263,67741.86667,,Damage,4970,,Damage,278331,56050,364,68723.68711,,Damage,2651,,Damage,66269,56050,247,70126.21714,,Damage,3247,,Damage,61233,56050,183,50397.36889
,Range ,26.4,,Range ,42.2,56050,,,,Range ,21.1,,Range ,33.0,56050,,,,Range ,30.4,,Range ,38.3,56050,,,,Range ,18.5,,Range ,30.4,56050,,,,Range ,29.0,,Range ,46.2,56050,,,,Range ,31.7,,Range ,46.2,56050,,
,SPA,6.5,,SPA,5.3,56050,,,,SPA,5.7,,SPA,4.1,56050,,,,SPA,6.5,,SPA,8.1,56050,,,,SPA,4.1,,SPA,12.2,56050,,,,SPA,4.1,,SPA,2.8,56050,,,,SPA,4.9,,SPA,4.9,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,3949,,Damage,66336,56050,245,54429.16431,,Damage,3797,,Damage,41763,56050,202,55684.5872,,Damage,4541,,Damage,125746,56050,260,67064.448,,Damage,4556,,Damage,255137,56050,360,68036.45024,,Damage,2430,,Damage,60747,56050,244,69424.95497,,Damage,2977,,Damage,56130,56050,182,49893.3952
,Range ,22.0,,Range ,38.7,56050,,,,Range ,17.6,,Range ,30.3,56050,,,,Range ,25.3,,Range ,35.1,56050,,,,Range ,15.4,,Range ,27.8,56050,,,,Range ,24.2,,Range ,42.4,56050,,,,Range ,26.4,,Range ,42.4,56050,,
,SPA,7.2,,SPA,5.9,56050,,,,SPA,6.3,,SPA,4.5,56050,,,,SPA,7.2,,SPA,9.0,56050,,,,SPA,4.5,,SPA,13.5,56050,,,,SPA,4.5,,SPA,3.2,56050,,,,SPA,5.4,,SPA,5.4,56050,,
,,,,,,55550,,4,,,,,,,55000,,5,,,,,,,64500,,4,,,,,,,63000,,3,,,,,,,94821,,3,,,,,,,68700,,4
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
