,Aki(Kon),,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Angel,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Denji,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Himeno,,,Magic,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Kobeni,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit,,Power,,,Phy,Cost Per Unit,¥,DPS VALUE,Placement Limit
,,,,Dark,76100,¥,Cost /DPSx1000,3,,,,,Light,69400,¥,Cost /DPSx1000,3,,,,,Air,64750,¥,Cost /DPSx1000,4,,,,,Light,60850,¥,Cost /DPSx1000,4,,,,,Rose,46650,¥,Cost /DPSx1000,5,,,,,Fire,61000,¥,Cost /DPSx1000,4
,,,,Ground,AOE(Circle) 3 Radius,,1600¥ Deploy,,,,,,Hybrid,AOE(Circle) 12 Radius,,5000¥ Deploy,,,,,,Ground,AOE(Cone) 60° Angle,,1300¥ Deploy,,,,,,Ground,AOE(Circle) 7 Radius,,1250¥ Deploy,,,,,,Ground,AOE(Circle) 8 Radius,,1250¥ Deploy,,,,,,Ground,AOE(Circle) 10 Radius,,1300¥ Deploy,
,Upgrade 0,,,Max Upgrade,,76100,,3,,Upgrade 0,,,Max Upgrade,,69400,,3,,Upgrade 0,,,Max Upgrade,,64750,,4,,Upgrade 0,,,Max Upgrade,,60850,,4,,Upgrade 0,,,Max Upgrade,,46650,,5,,Upgrade 0,,,Max Upgrade,,61000,,4
,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS,,Base Stats,,,,,,DPS Value,Base DPS
,Damage,5522.44,,Damage,155050.81,,151,34455.73556,,Damage,11965.28,,Damage,191444.55,,394,82047.66429,,Damage,2153.75,,Damage,64612.54,,176,45608.85176,,Damage,2393.06,,Damage,52843.78,,134,32519.24923,,Damage,2393,,Damage,51450.72,,153,35729.66667,,Damage,2061.71,,Damage,74092.72,,135,32930.09778
,Range ,20,,Range ,26,,,,,Range ,19,,Range ,35,,,,,Range ,19,,Range ,25,,,,,Range ,19,,Range ,30,,,,,Range ,18,,Range ,32,,,,,Range ,19,,Range ,33,,,
,SPA,11,,SPA,13.5,,,,,SPA,7.5,,SPA,7,,,,,SPA,7,,SPA,8.5,,,,,SPA,7.5,,SPA,6.5,,,,,SPA,7,,SPA,9,,,,,SPA,7,,SPA,9,,,
,,,,56050,,76100,,3,,,,,56050,,69400,,3,,,,,56050,,64750,,4,,,,,56050,,60850,,4,,,,,56050,,46650,,5,,,,,56050,,61000,,4
,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS,,SSS Stats,,,,,56050,DPS Value,MaxBase DPS
,Damage,6627,,Damage,186061,56050,201,45940.98074,,Damage,14358,,Damage,229733,56050,525,109396.8857,,Damage,2585,,Damage,77535,56050,235,60811.80235,,Damage,2872,,Damage,63413,56050,178,43358.99897,,Damage,2872,,Damage,61741,56050,204,47639.55556,,Damage,2474,,Damage,88911,56050,180,43906.79704
,Range ,22.0,,Range ,28.6,56050,,,,Range ,20.9,,Range ,38.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,20.9,,Range ,36.3,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS,,Unique,,,,,56050,DPS Value,Unique DPS
,Damage,26508,,Damage,744244,56050,894,68060.71221,,Damage,57433,,Damage,918934,56050,2335,162069.4603,,Damage,10338,,Damage,310140,56050,1044,67568.66928,,Damage,11487,,Damage,253650,56050,792,48176.66553,,Damage,11486,,Damage,246963,56050,908,42346.2716,,Damage,9896,,Damage,355645,56050,800,48785.33004
,Range ,24.2,,Range ,31.5,56050,,,,Range ,23.0,,Range ,42.4,56050,,,,Range ,23.0,,Range ,30.3,56050,,,,Range ,23.0,,Range ,36.3,56050,,,,Range ,21.8,,Range ,38.7,56050,,,,Range ,23.0,,Range ,39.9,56050,,
,SPA,8.9,,SPA,10.9,56050,,,,SPA,6.1,,SPA,5.7,56050,,,,SPA,5.7,,SPA,6.9,56050,,,,SPA,6.1,,SPA,5.3,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,5.7,,SPA,7.3,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS,,Divine,,,,,56050,DPS Value,Divine DPS
,Damage,7952,,Damage,223273,56050,268,61254.64099,,Damage,17230,,Damage,275680,56050,701,145862.5143,,Damage,3101,,Damage,93042,56050,313,81082.40314,,Damage,3446,,Damage,76095,56050,238,57811.99863,,Damage,3446,,Damage,74089,56050,272,63519.40741,,Damage,2969,,Damage,106694,56050,240,58542.39605
,Range ,26.4,,Range ,34.3,56050,,,,Range ,25.1,,Range ,46.2,56050,,,,Range ,25.1,,Range ,33.0,56050,,,,Range ,25.1,,Range ,39.6,56050,,,,Range ,23.8,,Range ,42.2,56050,,,,Range ,25.1,,Range ,43.6,56050,,
,SPA,8.9,,SPA,10.9,56050,,,,SPA,6.1,,SPA,5.7,56050,,,,SPA,5.7,,SPA,6.9,56050,,,,SPA,6.1,,SPA,5.3,56050,,,,SPA,5.7,,SPA,7.3,56050,,,,SPA,5.7,,SPA,7.3,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS,,Celestial,,,,,56050,DPS Value,Celestial DPS
,Damage,7290,,Damage,204667,56050,266,60642.09458,,Damage,15794,,Damage,252707,56050,694,144403.8891,,Damage,2843,,Damage,85289,56050,310,80271.57911,,Damage,3159,,Damage,69754,56050,235,57233.87865,,Damage,3159,,Damage,67915,56050,216,50307.37067,,Damage,2721,,Damage,97802,56050,238,57956.97209
,Range ,22.0,,Range ,31.5,56050,,,,Range ,20.9,,Range ,42.4,56050,,,,Range ,20.9,,Range ,30.3,56050,,,,Range ,20.9,,Range ,36.3,56050,,,,Range ,19.8,,Range ,38.7,56050,,,,Range ,20.9,,Range ,39.9,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS,,Golden,,,,,56050,DPS Value,Golden DPS
,Damage,8615,,Damage,241879,56050,262,59723.27496,,Damage,18666,,Damage,298653,56050,683,142215.9514,,Damage,3360,,Damage,100796,56050,305,79055.34306,,Damage,3733,,Damage,82436,56050,232,56366.69867,,Damage,3733,,Damage,80263,56050,266,61931.42222,,Damage,3216,,Damage,115585,56050,234,57078.83615
,Range ,22.0,,Range ,28.6,56050,,,,Range ,20.9,,Range ,38.5,56050,,,,Range ,20.9,,Range ,27.5,56050,,,,Range ,20.9,,Range ,33.0,56050,,,,Range ,19.8,,Range ,35.2,56050,,,,Range ,20.9,,Range ,36.3,56050,,
,SPA,9.9,,SPA,12.2,56050,,,,SPA,6.8,,SPA,6.3,56050,,,,SPA,6.3,,SPA,7.7,56050,,,,SPA,6.8,,SPA,5.9,56050,,,,SPA,6.3,,SPA,8.1,56050,,,,SPA,6.3,,SPA,8.1,56050,,
,,,,,,76100,,3,,,,,,,69400,,3,,,,,,,64750,,4,,,,,,,60850,,4,,,,,,,46650,,5,,,,,,,61000,,4
